number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,city,zip code,cost rank
4,2.5,2730,2730,2,1991,Bothell,WA 98011,3
3,1.75,2360,1360,1,1948,Seattle,WA 98136,3
4,3.25,2730,1560,1,2007,Renton,WA 98059,3
4,2.5,2820,2820,2,2014,Shoreline,WA 98155,3
3,2.25,1750,1470,2.5,2005,Seattle,WA 98102,3
4,2.75,2710,2710,2,2000,Issaquah,WA 98027,3
4,2,1520,1520,1.5,1945,Seattle,WA 98115,3
4,2,1820,1640,1.5,1945,Seattle,WA 98115,3
4,2.25,2200,1300,1.5,1920,Kirkland,WA 98033,3
3,2.5,2390,1440,1,1955,Seattle,WA 98116,4
3,1.75,2240,1550,2,1923,Seattle,WA 98115,4
5,3.25,3660,3660,2,2006,Snoqualmie,WA 98065,4
3,2.5,2600,1700,1,1951,Seattle,WA 98117,4
3,2,2710,1880,1.5,1929,Seattle,WA 98115,4
4,2.5,3310,3310,2,2001,Redmond,WA 98052,4
5,2.75,2910,2910,1.5,1939,Seattle,WA 98105,4
3,1,1010,1010,1,1973,Snoqualmie,WA 98065,2
3,2.5,1650,1130,1,1986,Issaquah,WA 98027,2
4,2.75,2920,2920,2,2012,Renton,WA 98059,3
4,2.5,2530,2010,2,1990,Auburn,WA 98092,2
3,2.5,2200,1570,1,1988,Renton,WA 98058,2
4,2,2280,1140,1,1900,Seattle,WA 98122,3
2,2.5,2680,2680,1,2004,Redmond,WA 98053,4
3,2.5,2850,1990,2,1980,Seattle,WA 98122,4
2,1,810,810,1,1944,Burien,WA 98168,1
4,1.5,1240,1240,1,1971,Federal Way,WA 98023,1
2,1,1200,1200,1,1958,Des Moines,WA 98198,1
3,1.75,1920,1000,1,1984,Auburn,WA 98001,1
3,2,1550,1550,1,1958,Renton,WA 98059,1
3,1,1450,1450,1,1953,Seattle,WA 98118,1
3,2,1050,1050,1,1986,Duvall,WA 98019,2
4,2.75,2310,2310,2,2006,Maple Valley,WA 98038,2
3,2.5,1880,1880,2,1994,Renton,WA 98055,2
4,2.5,2370,2370,2,1998,Auburn,WA 98092,2
2,1,1140,1140,1.5,1949,Seattle,WA 98133,2
5,1,1120,1120,1.5,1962,Kirkland,WA 98034,2
2,1.5,1160,1160,2,2001,Seattle,WA 98144,2
3,3,1571,1571,3,2008,Seattle,WA 98125,2
4,1.75,1970,1140,1,1960,Shoreline,WA 98133,2
5,2.5,3090,1750,1,1968,Federal Way,WA 98023,2
3,2.5,2230,2230,2,1954,Seattle,WA 98144,2
2,1.75,2110,2110,1,1948,Shoreline,WA 98155,2
2,1,840,840,1,1955,Seattle,WA 98136,2
2,3,1410,1140,2,2006,Seattle,WA 98136,2
3,2.25,1410,1410,3,2005,Seattle,WA 98103,2
3,2.25,1800,1360,1,1978,Issaquah,WA 98027,2
3,2.25,1620,1540,2.5,2010,Issaquah,WA 98029,2
3,2.5,1408,1408,3,2005,Seattle,WA 98115,2
3,2,1410,1410,1.5,1930,Seattle,WA 98103,2
2,2.5,1590,1590,2,2014,Issaquah,WA 98029,2
5,2,1840,1540,1,1942,Seattle,WA 98133,2
4,2,1480,1480,1.5,1928,Seattle,WA 98133,2
3,2.5,3040,3040,2,2007,Renton,WA 98056,2
4,3,2340,1340,1,1979,Kirkland,WA 98034,2
4,1.75,2010,1470,1,1977,Kirkland,WA 98034,2
4,2.5,2910,2910,2,2006,Snoqualmie,WA 98065,2
4,1,2070,1160,1,1963,Bellevue,WA 98008,3
3,2.5,1790,1790,2,2010,Issaquah,WA 98027,3
3,1.75,1560,780,1,1944,Seattle,WA 98199,3
5,2.75,2740,1370,1,1960,Bellevue,WA 98006,3
4,2.5,2910,2910,2,2008,Renton,WA 98059,3
3,2.5,1940,1940,2,2009,Issaquah,WA 98027,3
3,2.5,1900,1900,2,1987,Sammamish,WA 98074,3
3,2.25,2010,1330,1,1975,Redmond,WA 98052,3
2,1,2540,1320,1,1942,Seattle,WA 98118,3
2,1,1770,1520,1.5,1949,Seattle,WA 98117,3
3,1.75,1670,1670,1,1976,Sammamish,WA 98075,3
3,1.75,1880,1040,1,1945,Seattle,WA 98115,3
4,1.75,2300,1960,1,1977,Redmond,WA 98052,3
3,2,1800,1080,1,1942,Seattle,WA 98115,3
4,2.25,1990,1210,1,1973,Issaquah,WA 98027,3
4,2.5,2440,2440,2,2014,Seattle,WA 98117,3
3,1.5,2160,1400,1,1949,Seattle,WA 98177,3
3,2.5,1680,1680,3,1909,Seattle,WA 98105,3
3,2.5,2490,2490,2,2003,Issaquah,WA 98029,4
4,2.5,2450,2450,2,2013,Redmond,WA 98052,4
4,2.5,3180,3180,2,2000,Renton,WA 98059,4
4,2.5,2800,1660,1,1963,Seattle,WA 98115,4
4,2.5,2120,1620,1,1960,Bellevue,WA 98005,4
3,2,2350,1810,1.5,1939,Seattle,WA 98112,4
4,2.5,2730,2730,2,1996,Sammamish,WA 98074,4
3,2.5,3240,3240,2,1994,Sammamish,WA 98075,4
5,2.5,3180,3180,2,1990,Kirkland,WA 98033,4
6,1.75,2920,2780,2.5,1908,Seattle,WA 98122,4
4,2.5,3400,3400,2,2007,Redmond,WA 98052,4
4,3,2170,1610,2,1982,Seattle,WA 98112,4
4,3,3690,3690,2,1998,Sammamish,WA 98075,4
4,4.25,4420,3410,2,2006,Issaquah,WA 98027,4
5,3.5,4490,3200,2,2006,Issaquah,WA 98027,4
5,2.75,3190,1690,1,1976,Bellevue,WA 98006,4
5,3.5,4010,2850,2,1971,Seattle,WA 98105,4
7,8,13540,9410,3,1999,Redmond,WA 98053,4
3,1.5,1420,1420,1,1962,Federal Way,WA 98023,1
3,1,1010,1010,1,1954,Renton,WA 98057,1
3,1.5,800,800,1,1959,Federal Way,WA 98023,1
3,1.75,1690,1060,1,1976,Auburn,WA 98001,1
3,1.75,1850,1320,1,1979,Federal Way,WA 98023,1
2,1,900,900,1,1952,Seattle,WA 98106,1
3,1.75,1490,1010,1,1975,Covington,WA 98042,1
3,1,1050,1050,1,1954,Shoreline,WA 98133,1
3,2.5,1650,1650,2,1998,Carnation,WA 98014,1
3,1.75,1580,1100,1,1962,Des Moines,WA 98198,1
3,2.25,1970,1180,1,1967,Lake Forest Park,WA 98155,1
3,1.75,1630,1630,1,1971,North Bend,WA 98045,1
4,2.5,2000,2000,2,2003,Kent,WA 98042,1
3,2.25,1980,1560,1,1974,Federal Way,WA 98023,1
4,2,1300,1300,1,1950,Seattle,WA 98146,2
3,1,1510,860,1,1940,Seattle,WA 98115,2
4,2.5,1890,980,1,1980,Seattle,WA 98106,2
2,1,720,720,1,1942,Seattle,WA 98117,2
4,2.5,2331,2331,2,2007,Renton,WA 98058,2
3,1,1110,1110,1,1956,Seattle,WA 98115,2
3,1,1350,860,1,1947,Seattle,WA 98125,2
4,2,2680,2680,1,1965,Auburn,WA 98001,2
3,2.25,1640,1140,1,1963,Burien,WA 98148,2
3,1.5,1310,1310,1,1950,Seattle,WA 98133,2
3,1.5,1410,1410,1,1961,Shoreline,WA 98177,2
3,2,1270,1270,3,2006,Seattle,WA 98103,2
4,1.75,1500,1000,1,1955,Kenmore,WA 98028,2
3,1.75,1900,1280,1,1982,Seattle,WA 98118,2
3,1,1230,1230,1,1962,Newcastle,WA 98056,2
5,3.75,2890,1310,1,2006,Seattle,WA 98144,2
3,1.75,1260,1260,1,1966,Bellevue,WA 98008,2
4,2,1440,1200,1,1971,Kirkland,WA 98034,2
4,1.75,1840,960,1,1958,Bellevue,WA 98008,2
4,2,1520,1520,1,1967,Inglewood-Finn Hill,WA 98034,2
3,3.5,3020,2080,2,1954,Seattle,WA 98199,2
5,2.5,2240,1340,1,1978,Kirkland,WA 98034,2
6,3,3470,3470,1.5,1924,Kenmore,WA 98028,2
4,2.5,2740,2740,2,1995,Woodinville,WA 98077,2
2,1.75,1660,1160,1,1942,Seattle,WA 98105,2
3,2,1420,1420,1.5,1905,Seattle,WA 98103,2
5,2,2020,2020,1.5,1938,Seattle,WA 98117,2
2,1.75,1170,740,1,1903,Seattle,WA 98103,2
3,2.5,1480,1480,3,2006,Seattle,WA 98112,3
4,2.5,2000,2000,2,1996,Kenmore,WA 98028,3
3,2.5,1790,1790,2,1989,Sammamish,WA 98074,3
3,1.5,1430,1430,1,1956,Bellevue,WA 98007,3
3,2.5,2460,2460,2,1980,Renton,WA 98059,3
3,2.5,2970,1770,1,1995,Sammamish,WA 98074,3
5,2.5,2910,1690,1,1964,Bellevue,WA 98008,3
5,2.75,1800,1400,1.5,1926,Seattle,WA 98103,3
3,2.5,1850,1850,2,1991,Kirkland,WA 98034,3
3,2,2000,2000,2,1916,Seattle,WA 98136,3
5,2.25,3040,3040,2,1984,Redmond,WA 98052,3
4,3,3100,2400,2,1996,Kenmore,WA 98028,3
3,1.75,2130,1170,1,1954,Seattle,WA 98199,3
4,3.25,3569,3569,2,2013,Renton,WA 98055,3
4,2.25,2260,1400,2,1977,Bellevue,WA 98006,3
4,2.5,2110,2110,2,1987,Issaquah,WA 98027,3
4,2.5,2150,2150,2,1985,Redmond,WA 98052,3
4,3,2450,1580,1,1967,Bellevue,WA 98006,3
4,2,2060,1030,1,1949,Seattle,WA 98117,3
3,1.5,1630,1160,1,1940,Seattle,WA 98115,3
4,3.5,3380,3380,2,2000,Shoreline,WA 98177,3
4,2.5,3030,3030,2,1999,Sammamish,WA 98074,3
4,2.5,3200,3200,2,1998,Newcastle,WA 98059,4
4,2.5,2290,2290,2,1988,Bellevue,WA 98006,4
4,2.5,3880,3880,2,1987,Sammamish,WA 98074,4
4,2.5,3040,3040,2,2008,Redmond,WA 98052,4
4,2,3740,3740,2,2000,Redmond,WA 98053,4
3,2.5,2690,2690,3,2014,Seattle,WA 98117,4
4,2.75,3370,1970,1,1970,Seattle,WA 98136,4
4,2.25,3490,2280,2,1928,Seattle,WA 98199,4
4,3.25,3760,2400,1.5,1950,Seattle,WA 98105,4
5,4,4510,4510,2,1969,Mercer Island,WA 98040,4
2,1,1040,1040,1,1912,Kent,WA 98032,1
3,2,1570,1570,1,1952,Shoreline,WA 98155,1
4,1,1490,1490,1,1969,Burien,WA 98168,1
3,1.5,1380,1380,1,1960,Federal Way,WA 98003,1
3,1.75,1640,1130,1,1988,Covington,WA 98042,1
3,2.5,1920,1920,2,1988,Renton,WA 98057,1
3,2,1410,1410,1,1985,Kent,WA 98030,1
3,1.5,1260,1040,2,2005,Seattle,WA 98133,1
3,1,1400,1400,1,1944,Burien,WA 98166,1
4,1.75,1720,1720,1,1960,Covington,WA 98042,1
3,1,1110,1110,1,1952,Burien,WA 98166,1
1,1,1100,820,1,1947,Burien,WA 98166,1
3,1.75,1250,1250,1,1994,Black Diamond,WA 98010,1
5,2.25,2060,1030,1,1962,Burien,WA 98146,1
3,2.5,1600,1600,2,1993,Maple Valley,WA 98038,1
3,2.5,1600,1600,2,2000,Auburn,WA 98001,1
3,1.75,1840,1220,1,1974,Renton,WA 98058,2
3,1.75,2190,2190,1,1967,Federal Way,WA 98023,2
3,1.75,1870,1870,1,1957,Federal Way,WA 98003,2
3,1,1040,1040,1,1968,Renton,WA 98059,2
3,3,1680,1680,3,2014,Seattle,WA 98103,2
3,2.25,1630,1630,2,1985,Renton,WA 98058,2
3,1,1010,1010,1,1981,Kirkland,WA 98033,2
5,2.5,2420,1620,1,1978,Seattle,WA 98118,2
2,1,820,820,1,1944,Seattle,WA 98126,2
5,2.75,2410,1410,1,2008,Seattle,WA 98118,2
3,2.5,1830,1830,2,1990,Maple Valley,WA 98038,2
2,1,1640,840,1,1978,Redmond,WA 98053,2
5,1.75,3000,1500,1,1958,Seattle,WA 98178,2
3,2.25,1660,1660,1,1961,Shoreline,WA 98133,2
4,2.75,2140,1320,1,1968,Kenmore,WA 98028,2
4,3,1830,1830,2,1991,Bothell,WA 98028,2
3,2.25,1606,1606,3,2009,Seattle,WA 98125,2
3,2.25,1770,1770,2,1977,Kirkland,WA 98034,2
2,2.5,1150,1150,3,2008,Seattle,WA 98103,2
2,2,1350,1350,1,2003,Redmond,WA 98053,2
3,1.75,1500,1060,1,1947,Seattle,WA 98118,2
3,2.5,1600,1600,2,2013,Renton,WA 98056,2
3,2,1760,1760,2,1985,Redmond,WA 98052,2
4,2.5,2180,2180,1,1968,Woodinville,WA 98072,2
3,2,1610,1010,1,1917,Seattle,WA 98136,2
4,2.5,3305,2245,1.5,1922,Shoreline,WA 98133,2
4,2.75,2656,2656,2,2014,Auburn,WA 98001,2
3,2.5,1940,1940,1,1987,Issaquah,WA 98027,2
3,2.5,2280,1880,2,2006,Issaquah,WA 98027,3
3,2.75,1540,1210,1,1980,Kirkland,WA 98034,3
4,2.5,2430,2430,2,2003,Shoreline,WA 98155,3
3,1.75,1580,1210,1,1967,Bellevue,WA 98008,3
3,2.25,1170,1170,3,2014,Seattle,WA 98107,3
2,2,1550,1550,1.5,1900,Seattle,WA 98103,3
3,1,1340,1080,1,1910,Seattle,WA 98105,3
7,5.75,3700,3700,2,1948,Lake Forest Park,WA 98155,3
3,3,4120,3180,2,1994,Carnation,WA 98014,3
3,2,1860,1860,1,1985,Issaquah,WA 98027,3
3,2,2350,1780,1.5,1929,Seattle,WA 98118,3
4,2,1650,1650,1,1955,Seattle,WA 98117,3
4,2,2510,1280,1,1961,Kirkland,WA 98033,3
3,1.75,1960,1090,1,1920,Seattle,WA 98115,3
9,4.5,3830,2450,2.5,1938,Seattle,WA 98103,3
3,2.5,2460,1860,1,1977,Issaquah,WA 98027,3
3,2.5,2030,2030,2,1988,Issaquah,WA 98027,3
2,2.25,2550,1720,1,2011,Renton,WA 98056,3
3,3,2270,2130,2,2002,Renton,WA 98056,3
3,2.5,3240,3240,2,1991,Kent,WA 98042,3
4,2.5,2650,1520,1.5,1905,Seattle,WA 98116,4
4,2.75,2600,1960,2,1949,Seattle,WA 98116,4
3,2.75,2520,1360,1,1946,Seattle,WA 98119,4
4,2.75,2410,1780,1,1956,Kirkland,WA 98033,4
3,2,2540,1600,1.5,1905,Seattle,WA 98144,4
4,2,2210,1210,1,1954,Seattle,WA 98199,4
5,3.75,4130,3170,2,1985,Woodinville,WA 98077,4
4,3.5,3900,3900,2,2006,Kirkland,WA 98033,4
4,4,4460,4460,2,2001,Redmond,WA 98053,4
6,2.5,3560,3560,2.5,1914,Seattle,WA 98112,4
5,4.5,4270,3400,2,2007,Kirkland,WA 98033,4
2,1.5,980,980,2,1922,Skykomish,WA 98288,1
2,1,720,720,1,1955,Seattle,WA 98106,1
3,1,1490,1490,1,1954,Seattle,WA 98168,1
4,1.75,2000,1100,1,1965,Seattle,WA 98178,1
3,2.5,1190,1190,2,2002,Tukwila,WA 98178,1
3,1,1390,1390,1,1960,Algona,WA 98001,1
3,1.75,950,790,1,1939,Seattle,WA 98108,1
2,1,1270,650,1,1923,Seattle,WA 98118,1
3,1.5,1260,1260,1,1955,Des Moines,WA 98148,1
3,1.75,1390,1390,1,1975,Kent,WA 98031,1
4,1.75,1730,1230,1,1977,Federal Way,WA 98023,1
4,1.5,2130,1100,1,1962,Kent,WA 98032,1
4,2.5,2020,2020,2,2002,Algona,WA 98001,1
3,2.5,1940,1460,1,1989,Kent,WA 98030,1
4,2.5,1810,1810,2,1994,Kent,WA 98042,1
3,1.75,1890,1890,1,1966,Kent,WA 98042,1
3,2.5,1920,1920,2,1993,Federal Way,WA 98003,1
3,2,1240,1240,1,1967,Renton,WA 98058,1
2,1.25,860,860,2,2007,Seattle,WA 98144,2
4,2.5,2320,2320,2,2004,Kent,WA 98042,2
4,2.5,2460,2460,2,1989,Federal Way,WA 98023,2
3,1.75,1590,1590,1,1988,Renton,WA 98059,2
4,1.75,2250,2150,1,1940,Kent,WA 98030,2
2,1.5,960,960,2,1993,Seattle,WA 98122,2
6,2.25,3206,3206,2,2012,Kent,WA 98032,2
3,1.75,1890,1230,1,1944,Seattle,WA 98125,2
3,2.5,1960,1290,1,1977,Kirkland,WA 98034,2
3,2.75,2090,2090,2,2012,Duvall,WA 98019,2
2,1,1020,1020,1,1948,Seattle,WA 98177,2
3,2.5,1540,1470,3,2008,Seattle,WA 98103,2
3,1.75,1460,1460,1,1979,Redmond,WA 98052,2
3,1.75,1310,1310,1,1976,Redmond,WA 98052,2
2,1.5,1020,1020,3,2008,Seattle,WA 98103,2
3,2,1510,1510,1,1954,Woodinville,WA 98077,2
5,2.25,2440,2440,1.5,1975,Kent,WA 98042,2
3,2.5,2310,2310,2,2011,Kenmore,WA 98028,2
3,1.75,1410,1410,3,2012,Seattle,WA 98103,3
4,2.75,2280,1540,1.5,1930,Seattle,WA 98115,3
3,1.75,1980,1980,1,1973,Bellevue,WA 98008,3
3,1,1670,1170,1,1967,Seattle,WA 98115,3
4,2.5,2280,2280,2,2004,Woodinville,WA 98077,3
4,3,2920,1460,1,1964,Bellevue,WA 98008,3
4,2.5,2550,2550,2,2005,Sammamish,WA 98075,3
4,1.75,1840,1220,1,1967,Redmond,WA 98052,3
6,2.25,2820,1970,1.5,1940,Burien,WA 98166,3
2,2,1870,1870,1,2006,Redmond,WA 98053,3
4,2.25,2250,2250,2,1980,Redmond,WA 98053,3
2,3,3160,3160,2,1993,Woodinville,WA 98077,3
3,2.5,1750,1750,2,1991,Kirkland,WA 98033,3
2,1,1540,820,1,1946,Seattle,WA 98119,3
4,1.75,2060,1160,1,1947,Normandy Park,WA 98166,3
4,2.5,3290,3290,2,2002,Sammamish,WA 98075,4
3,2.5,1690,1690,1.5,1928,Seattle,WA 98116,4
4,2.5,2660,2660,2,2003,Issaquah,WA 98029,4
4,1.75,2480,1390,1,1950,Bellevue,WA 98004,4
5,3,3040,1970,1,1968,Mercer Island,WA 98040,4
3,2.5,2920,2920,3,2008,Renton,WA 98056,4
3,3.25,2640,1840,2,1912,Seattle,WA 98105,4
5,2.5,3160,1780,1,1971,Mercer Island,WA 98040,4
4,1,3410,2190,2,1910,Seattle,WA 98144,4
4,3.25,3820,3310,2,1990,Mercer Island,WA 98040,4
2,1,720,720,1,1950,Seattle,WA 98178,1
3,1,1160,1160,1,1959,Kent,WA 98032,1
2,1.5,1020,1020,2,2004,Seattle,WA 98133,1
4,1,1430,1430,1.5,1983,Auburn,WA 98092,1
3,2.5,2000,2000,2,1992,Maple Valley,WA 98038,1
3,1,1360,1360,1,1977,Black Diamond,WA 98010,1
4,3,2163,2163,2,2006,Algona,WA 98001,1
3,1.75,1220,1220,1,1962,North Bend,WA 98045,1
3,1,1030,880,1,1947,Seattle,WA 98125,1
3,2.5,1850,1850,2,2003,Covington,WA 98042,1
2,1,960,960,1,1984,Vashon,WA 98070,1
2,1,810,810,1,1928,Seattle,WA 98146,1
3,2,1920,1510,1,1969,Federal Way,WA 98023,1
3,2.5,1420,1020,1,1963,Kent,WA 98032,1
3,2,1690,1690,1,1969,Renton,WA 98059,1
3,1.5,1500,1500,1,1953,Seattle,WA 98125,1
4,2,2190,1180,1,1977,Auburn,WA 98001,1
3,1.75,1390,840,1,1912,Renton,WA 98057,1
4,2.5,2000,1200,1,1968,Auburn,WA 98001,1
3,1.5,1060,1060,1,1973,Kirkland,WA 98034,2
4,2.25,2130,1380,1,1977,Renton,WA 98055,2
4,2.25,1930,1430,1,1984,Kent,WA 98031,2
5,1.75,2320,1160,1,1956,Burien,WA 98166,2
4,2.25,2310,2310,2,1980,Renton,WA 98055,2
4,2.75,1970,1170,1,1977,Renton,WA 98058,2
3,2.25,998,798,2,2007,Seattle,WA 98117,2
3,2.25,1352,1352,3,2007,Seattle,WA 98125,2
4,2.5,1940,1940,2,2003,Renton,WA 98058,2
3,1,1620,1620,1.5,1911,Bellevue,WA 98006,2
3,2.25,1640,1640,1,1972,Renton,WA 98059,2
3,2,1340,1340,3,2008,Seattle,WA 98103,2
3,3.25,1410,1410,3,2005,Seattle,WA 98103,2
3,2.25,1445,1300,2,2003,Issaquah,WA 98027,2
4,2.5,2600,2600,2,1988,Federal Way,WA 98023,2
4,2.25,3060,3060,2,1992,Ravensdale,WA 98051,2
4,2,1650,1000,1,1959,Seattle,WA 98144,2
2,2,1150,860,1,1940,Seattle,WA 98115,2
4,1.75,1750,1050,1.5,1926,Seattle,WA 98117,2
2,1,1150,1150,1,1905,Seattle,WA 98112,2
4,2.5,1930,1930,1,1968,Federal Way,WA 98023,2
3,2,1410,1410,1,1940,Seattle,WA 98117,2
2,1,1840,1130,1.5,1910,Seattle,WA 98107,2
3,1.75,1750,1300,1,1987,Sammamish,WA 98074,2
3,2.5,2100,2100,2,1999,Snoqualmie,WA 98065,3
3,2,1400,1400,1,1963,Bellevue,WA 98008,3
3,2.5,2030,2030,2,1991,Issaquah,WA 98029,3
5,3,3480,2340,1,1976,Issaquah,WA 98027,3
3,1.75,1300,1300,1.5,1925,Seattle,WA 98115,3
4,1.75,2000,1450,1.5,1926,Seattle,WA 98126,3
4,2.5,2330,2330,2,1978,Bellevue,WA 98007,3
4,2.5,2840,2840,2,2012,Kenmore,WA 98028,3
4,2.25,2470,2470,2,1984,Lake Forest Park,WA 98155,3
3,2.25,1660,1370,1,1980,Redmond,WA 98052,3
4,2.5,2840,2840,2,1998,Kenmore,WA 98028,3
4,2.5,2660,2660,2,2001,Redmond,WA 98053,3
4,3.25,2400,2400,2,1982,Woodinville,WA 98072,3
4,2.25,2430,2430,1,1993,Woodinville,WA 98077,3
4,2.5,2260,2260,2,1989,Issaquah,WA 98029,3
3,3,2480,1620,1,1976,Woodinville,WA 98077,3
4,2.75,3100,2000,2,1919,Seattle,WA 98122,4
4,2.75,2790,2790,2,1996,Issaquah,WA 98027,4
4,3.5,2730,2400,2,2006,Seattle,WA 98116,4
4,2.5,2830,1980,2,1979,Bellevue,WA 98004,4
4,2.75,3780,3780,2,1999,Sammamish,WA 98075,4
4,3.5,3810,2560,1,2013,Renton,WA 98056,4
3,2.5,3560,3560,2,1987,Redmond,WA 98053,4
4,3,3750,3750,2,1976,Sammamish,WA 98074,4
4,2.25,4230,4230,2,1989,Woodinville,WA 98077,4
3,2.25,2950,2950,1.5,2006,Sammamish,WA 98075,4
4,4.25,5860,4910,2,1996,Woodinville,WA 98072,4
4,2.75,3720,1960,1,1962,Bellevue,WA 98006,4
5,4.5,5190,3390,2,1987,Mercer Island,WA 98040,4
5,6.5,7270,6420,2,2010,Issaquah,WA 98029,4
4,1,1940,1080,1,1962,Kent,WA 98031,1
3,2.5,2130,2130,2,2003,Maple Valley,WA 98038,2
3,2.5,1350,1270,3,2006,Seattle,WA 98136,2
5,2.75,3060,1600,1,1979,Seattle,WA 98146,3
4,2,2520,1400,1,1921,Seattle,WA 98103,4
3,2.5,1370,1010,2,2007,Seattle,WA 98136,2
4,2.5,2160,2160,2.5,1902,Seattle,WA 98122,4
3,1,970,970,1,1959,Federal Way,WA 98003,1
3,1.5,1370,1370,1,1961,Auburn,WA 98092,1
2,1,700,700,1,1953,Normandy Park,WA 98166,1
3,1,1460,1460,1,1969,Kent,WA 98042,1
3,2.5,1040,720,2,2004,Seattle,WA 98118,1
3,1.5,1350,1350,1,1941,Burien,WA 98166,1
3,1,990,990,1,1966,Renton,WA 98058,1
1,1,810,810,1,1941,Seattle,WA 98126,1
3,1,1830,1830,1,1942,Kenmore,WA 98028,1
3,1.5,1770,1160,1,1959,Bellevue,WA 98006,1
2,1,1220,770,1,1910,Seattle,WA 98126,1
2,1,1290,1290,2,2008,Redmond,WA 98053,1
4,2.5,2380,2380,2,1997,Kent,WA 98031,1
2,1.75,1360,860,1,1975,Seattle,WA 98177,1
5,2.25,2180,2180,2,1986,Maple Valley,WA 98038,2
3,1.75,1440,960,1,1951,Seattle,WA 98125,2
5,3,2100,1250,1,2013,Burien,WA 98168,2
3,2.5,1940,1940,2,2004,Renton,WA 98058,2
3,1,1080,1080,1,1955,Shoreline,WA 98155,2
3,1.5,1720,1720,1.5,1952,Shoreline,WA 98155,2
2,1,910,910,1.5,1906,Seattle,WA 98118,2
4,2,1730,1010,1,1943,Seattle,WA 98106,2
3,1,1280,1280,1,1968,Woodinville,WA 98072,2
2,2.5,980,670,2,2009,Seattle,WA 98116,2
5,3,2480,1300,1,2004,Seattle,WA 98178,2
4,2.5,2160,2160,2,2010,Maple Valley,WA 98038,2
3,2.25,2200,2200,2,1987,Maple Valley,WA 98038,2
2,2.5,1480,1480,3,2009,Redmond,WA 98052,2
3,2.5,2010,1390,2,2014,Issaquah,WA 98029,2
3,1.5,2020,1190,1,1956,Kirkland,WA 98033,2
2,2.5,1230,870,2,2004,Seattle,WA 98112,2
2,2.25,1290,1290,3,2007,Seattle,WA 98107,3
4,2.5,2780,1590,1,1978,Kirkland,WA 98034,3
4,1.75,1940,1030,1,1922,Seattle,WA 98122,3
4,2.25,1800,1360,1,1980,Kirkland,WA 98033,3
3,2.5,3720,3720,2,1982,Sammamish,WA 98074,3
4,1.75,2120,1190,1,1951,Seattle,WA 98117,3
4,3,2110,1640,1.5,1930,Seattle,WA 98136,3
2,1.75,2040,2040,1.5,1919,Vashon,WA 98070,3
3,1.5,1620,1280,1,1954,Seattle,WA 98117,3
4,2,1770,1770,2,1911,Seattle,WA 98199,3
3,2.5,1570,1570,3,2010,Seattle,WA 98103,3
