city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,total cost
Federal Way,3,2.25,1980,1560,1.0,1974,295000.0
Seattle,4,2.0,1300,1300,1.0,1950,312000.0
Seattle,3,1.0,1510,860,1.0,1940,313950.0
Seattle,4,2.5,1890,980,1.0,1980,324999.9999
Seattle,2,1.0,720,720,1.0,1942,329350.0
Renton,4,2.5,2331,2331,2.0,2007,345000.0
Seattle,3,1.0,1110,1110,1.0,1956,345000.0
Seattle,3,1.0,1350,860,1.0,1947,353000.0
Auburn,4,2.0,2680,2680,1.0,1965,360000.0
Burien,3,2.25,1640,1140,1.0,1963,362000.0
Seattle,3,1.5,1310,1310,1.0,1950,365000.0
Shoreline,3,1.5,1410,1410,1.0,1961,367500.0001
Seattle,3,2.0,1270,1270,3.0,2006,369950.0
Kenmore,4,1.75,1500,1000,1.0,1955,379900.0
Seattle,3,1.75,1900,1280,1.0,1982,385000.0
Newcastle,3,1.0,1230,1230,1.0,1962,386999.9999
Seattle,5,3.75,2890,1310,1.0,2006,389999.9999
Bellevue,3,1.75,1260,1260,1.0,1966,390000.0001
Kirkland,4,2.0,1440,1200,1.0,1971,397000.0
Bellevue,4,1.75,1840,960,1.0,1958,404000.0
Inglewood-Finn Hill,4,2.0,1520,1520,1.0,1967,425000.0
Seattle,3,3.5,3020,2080,2.0,1954,439333.3333
Kirkland,5,2.5,2240,1340,1.0,1978,455000.0
Kenmore,6,3.0,3470,3470,1.5,1924,474999.9997
Woodinville,4,2.5,2740,2740,2.0,1995,483499.9998
Seattle,2,1.75,1660,1160,1.0,1942,484000.0
Seattle,3,2.0,1420,1420,1.5,1905,485000.0
Seattle,5,2.0,2020,2020,1.5,1938,488000.0
Seattle,2,1.75,1170,740,1.0,1903,499000.0
Seattle,3,2.5,1480,1480,3.0,2006,500000.0
Kenmore,4,2.5,2000,2000,2.0,1996,513000.0
Sammamish,3,2.5,1790,1790,2.0,1989,515000.0001
Bellevue,3,1.5,1430,1430,1.0,1956,518000.0
Renton,3,2.5,2460,2460,2.0,1980,519999.9999
Sammamish,3,2.5,2970,1770,1.0,1995,524999.9999
Bellevue,5,2.5,2910,1690,1.0,1964,530000.0
Seattle,5,2.75,1800,1400,1.5,1926,533000.0
Kirkland,3,2.5,1850,1850,2.0,1991,534999.9999
Seattle,3,2.0,2000,2000,2.0,1916,561000.0
Redmond,5,2.25,3040,3040,2.0,1984,562000.0001
Kenmore,4,3.0,3100,2400,2.0,1996,563000.0001
Seattle,3,1.75,2130,1170,1.0,1954,575000.0001
Renton,4,3.25,3569,3569,2.0,2013,580000.0001
Bellevue,4,2.25,2260,1400,2.0,1977,599000.0001
Issaquah,4,2.5,2110,2110,2.0,1987,606000.0
Redmond,4,2.5,2150,2150,2.0,1985,609000.0
Bellevue,4,3.0,2450,1580,1.0,1967,610000.0
Seattle,4,2.0,2060,1030,1.0,1949,612499.9999
Seattle,3,1.5,1630,1160,1.0,1940,650000.0
Shoreline,4,3.5,3380,3380,2.0,2000,655499.9999
Sammamish,4,2.5,3030,3030,2.0,1999,685000.0
Newcastle,4,2.5,3200,3200,2.0,1998,725126.0
Bellevue,4,2.5,2290,2290,2.0,1988,736000.0001
Sammamish,4,2.5,3880,3880,2.0,1987,762300.0002
Redmond,4,2.5,3040,3040,2.0,2008,776000.0001
Redmond,4,2.0,3740,3740,2.0,2000,860000.0
Seattle,3,2.5,2690,2690,3.0,2014,979000.0001
Seattle,4,2.75,3370,1970,1.0,1970,1135000.0
Seattle,4,2.25,3490,2280,2.0,1928,1225000.0
Seattle,4,3.25,3760,2400,1.5,1950,1580000.0
Mercer Island,5,4.0,4510,4510,2.0,1969,1870000.0
Kent,2,1.0,1040,1040,1.0,1912,160000.0
Shoreline,3,2.0,1570,1570,1.0,1952,176225.0
Burien,4,1.0,1490,1490,1.0,1969,185000.0
Federal Way,3,1.5,1380,1380,1.0,1960,209950.0001
Covington,3,1.75,1640,1130,1.0,1988,226500.0
Renton,3,2.5,1920,1920,2.0,1988,230000.0001
Kent,3,2.0,1410,1410,1.0,1985,239900.0
Seattle,3,1.5,1260,1040,2.0,2005,245000.0
Burien,3,1.0,1400,1400,1.0,1944,246000.0
Covington,4,1.75,1720,1720,1.0,1960,248499.9999
Burien,3,1.0,1110,1110,1.0,1952,249000.0
Burien,1,1.0,1100,820,1.0,1947,250000.0
Black Diamond,3,1.75,1250,1250,1.0,1994,253000.0
Burien,5,2.25,2060,1030,1.0,1962,255000.0
Maple Valley,3,2.5,1600,1600,2.0,1993,275000.0
Auburn,3,2.5,1600,1600,2.0,2000,280000.0
Renton,3,1.75,1840,1220,1.0,1974,310000.0
Federal Way,3,1.75,2190,2190,1.0,1967,313000.0
Federal Way,3,1.75,1870,1870,1.0,1957,314500.0
Renton,3,1.0,1040,1040,1.0,1968,314949.9999
Seattle,3,3.0,1680,1680,3.0,2014,330000.0
Renton,3,2.25,1630,1630,2.0,1985,339950.0
Kirkland,3,1.0,1010,1010,1.0,1981,350000.0
Seattle,5,2.5,2420,1620,1.0,1978,352000.0
Seattle,2,1.0,820,820,1.0,1944,361280.0
Seattle,5,2.75,2410,1410,1.0,2008,365000.0
Maple Valley,3,2.5,1830,1830,2.0,1990,374999.9999
Redmond,2,1.0,1640,840,1.0,1978,379499.9999
Seattle,5,1.75,3000,1500,1.0,1958,380000.0
Shoreline,3,2.25,1660,1660,1.0,1961,405000.0
Kenmore,4,2.75,2140,1320,1.0,1968,409500.0
Bothell,4,3.0,1830,1830,2.0,1991,415000.0
Seattle,3,2.25,1606,1606,3.0,2009,417249.9999
Kirkland,3,2.25,1770,1770,2.0,1977,420000.0
Seattle,2,2.5,1150,1150,3.0,2008,425000.0
Redmond,2,2.0,1350,1350,1.0,2003,428000.0
Seattle,3,1.75,1500,1060,1.0,1947,440000.0001
Renton,3,2.5,1600,1600,2.0,2013,444845.0
Redmond,3,2.0,1760,1760,2.0,1985,460000.0
Woodinville,4,2.5,2180,2180,1.0,1968,480500.0001
Seattle,3,2.0,1610,1010,1.0,1917,485000.0
Shoreline,4,2.5,3305,2245,1.5,1922,492000.0
Auburn,4,2.75,2656,2656,2.0,2014,495000.0
Issaquah,3,2.5,1940,1940,1.0,1987,499999.9998
Issaquah,3,2.5,2280,1880,2.0,2006,500324.0001
Kirkland,3,2.75,1540,1210,1.0,1980,502999.9999
Shoreline,4,2.5,2430,2430,2.0,2003,510000.0
Bellevue,3,1.75,1580,1210,1.0,1967,515000.0
Seattle,3,2.25,1170,1170,3.0,2014,519950.0
Seattle,2,2.0,1550,1550,1.5,1900,526000.0
Seattle,3,1.0,1340,1080,1.0,1910,530000.0
Lake Forest Park,7,5.75,3700,3700,2.0,1948,540000.0
Carnation,3,3.0,4120,3180,2.0,1994,560000.0001
Issaquah,3,2.0,1860,1860,1.0,1985,559999.9999
Seattle,3,2.0,2350,1780,1.5,1929,568000.0
Seattle,4,2.0,1650,1650,1.0,1955,575000.0001
Kirkland,4,2.0,2510,1280,1.0,1961,581000.0
Seattle,3,1.75,1960,1090,1.0,1920,599000.0
Seattle,9,4.5,3830,2450,2.5,1938,599999.0
Issaquah,3,2.5,2460,1860,1.0,1977,600000.0003
Issaquah,3,2.5,2030,2030,2.0,1988,618080.0
Renton,2,2.25,2550,1720,1.0,2011,630000.0
Renton,3,3.0,2270,2130,2.0,2002,640000.0
Kent,3,2.5,3240,3240,2.0,1991,651000.0004
Seattle,4,2.5,2650,1520,1.5,1905,705000.0001
Seattle,4,2.75,2600,1960,2.0,1949,749950.0
Seattle,3,2.75,2520,1360,1.0,1946,750000.0001
Kirkland,4,2.75,2410,1780,1.0,1956,758000.0
Seattle,3,2.0,2540,1600,1.5,1905,774999.9999
Seattle,4,2.0,2210,1210,1.0,1954,794154.0
Woodinville,5,3.75,4130,3170,2.0,1985,899999.9991
Kirkland,4,3.5,3900,3900,2.0,2006,1040000.0
Redmond,4,4.0,4460,4460,2.0,2001,1150000.0
Seattle,6,2.5,3560,3560,2.5,1914,1500000.0
Kirkland,5,4.5,4270,3400,2.0,2007,1532500.0
Skykomish,2,1.5,980,980,2.0,1922,134000.0
Seattle,2,1.0,720,720,1.0,1955,205000.0
Seattle,3,1.0,1490,1490,1.0,1954,207000.0
Seattle,4,1.75,2000,1100,1.0,1965,228000.0001
Tukwila,3,2.5,1190,1190,2.0,2002,229000.0
Algona,3,1.0,1390,1390,1.0,1960,230000.0
Seattle,3,1.75,950,790,1.0,1939,230000.0
Seattle,2,1.0,1270,650,1.0,1923,235000.0
Des Moines,3,1.5,1260,1260,1.0,1955,245000.0
Kent,3,1.75,1390,1390,1.0,1975,246000.0
Federal Way,4,1.75,1730,1230,1.0,1977,258000.0
Kent,4,1.5,2130,1100,1.0,1962,260000.0001
Algona,4,2.5,2020,2020,2.0,2002,262000.0
Kent,3,2.5,1940,1460,1.0,1989,266000.0
Kent,4,2.5,1810,1810,2.0,1994,270000.0
Kent,3,1.75,1890,1890,1.0,1966,292285.7143
Federal Way,3,2.5,1920,1920,2.0,1993,295000.0
Renton,3,2.0,1240,1240,1.0,1967,297950.0
Seattle,2,1.25,860,860,2.0,2007,321950.0
Kent,4,2.5,2320,2320,2.0,2004,325900.0
Federal Way,4,2.5,2460,2460,2.0,1989,347500.0
Renton,3,1.75,1590,1590,1.0,1988,349000.0
Kent,4,1.75,2250,2150,1.0,1940,350000.0
Seattle,2,1.5,960,960,2.0,1993,358000.0
Kent,6,2.25,3206,3206,2.0,2012,375000.0001
Seattle,3,1.75,1890,1230,1.0,1944,384999.9999
Kirkland,3,2.5,1960,1290,1.0,1977,401999.9999
Duvall,3,2.75,2090,2090,2.0,2012,402999.9999
Seattle,2,1.0,1020,1020,1.0,1948,404999.9999
Seattle,3,2.5,1540,1470,3.0,2008,413450.0
Redmond,3,1.75,1460,1460,1.0,1979,424500.0
Redmond,3,1.75,1310,1310,1.0,1976,437000.0
Seattle,2,1.5,1020,1020,3.0,2008,441750.0
Woodinville,3,2.0,1510,1510,1.0,1954,450000.0001
Kent,5,2.25,2440,2440,1.5,1975,489990.0
Kenmore,3,2.5,2310,2310,2.0,2011,494000.0
Seattle,3,1.75,1410,1410,3.0,2012,500000.0
Seattle,4,2.75,2280,1540,1.5,1930,530000.0
Bellevue,3,1.75,1980,1980,1.0,1973,530000.0001
Seattle,3,1.0,1670,1170,1.0,1967,533000.0
Woodinville,4,2.5,2280,2280,2.0,2004,535000.0002
Bellevue,4,3.0,2920,1460,1.0,1964,537499.9999
Sammamish,4,2.5,2550,2550,2.0,2005,537500.0
Redmond,4,1.75,1840,1220,1.0,1967,538000.0
Burien,6,2.25,2820,1970,1.5,1940,543200.0
Redmond,2,2.0,1870,1870,1.0,2006,559950.0
Redmond,4,2.25,2250,2250,2.0,1980,569000.0
Woodinville,2,3.0,3160,3160,2.0,1993,589899.9998
Kirkland,3,2.5,1750,1750,2.0,1991,595000.0
Seattle,2,1.0,1540,820,1.0,1946,615000.0
Normandy Park,4,1.75,2060,1160,1.0,1947,647500.0
Sammamish,4,2.5,3290,3290,2.0,2002,716499.9999
Seattle,3,2.5,1690,1690,1.5,1928,719000.0
Issaquah,4,2.5,2660,2660,2.0,2003,753888.0001
Bellevue,4,1.75,2480,1390,1.0,1950,780000.0
Mercer Island,5,3.0,3040,1970,1.0,1968,830000.0001
Renton,3,2.5,2920,2920,3.0,2008,868500.0001
Seattle,3,3.25,2640,1840,2.0,1912,930000.0
Mercer Island,5,2.5,3160,1780,1.0,1971,980000.0001
Seattle,4,1.0,3410,2190,2.0,1910,1039000.0
Mercer Island,4,3.25,3820,3310,2.0,1990,1250000.0
Seattle,2,1.0,720,720,1.0,1950,195000.0
Kent,3,1.0,1160,1160,1.0,1959,201500.0
Seattle,2,1.5,1020,1020,2.0,2004,212000.0
Auburn,4,1.0,1430,1430,1.5,1983,224500.0
Maple Valley,3,2.5,2000,2000,2.0,1992,225000.0
Black Diamond,3,1.0,1360,1360,1.0,1977,234950.0001
Algona,4,3.0,2163,2163,2.0,2006,247999.9999
North Bend,3,1.75,1220,1220,1.0,1962,251000.0
Seattle,3,1.0,1030,880,1.0,1947,252500.0
Covington,3,2.5,1850,1850,2.0,2003,254000.0
Vashon,2,1.0,960,960,1.0,1984,255000.0
Seattle,2,1.0,810,810,1.0,1928,255000.0
Federal Way,3,2.0,1920,1510,1.0,1969,260000.0
Kent,3,2.5,1420,1020,1.0,1963,260000.0
Renton,3,2.0,1690,1690,1.0,1969,270000.0
Seattle,3,1.5,1500,1500,1.0,1953,270000.0
Auburn,4,2.0,2190,1180,1.0,1977,280000.0
Renton,3,1.75,1390,840,1.0,1912,280950.0
Auburn,4,2.5,2000,1200,1.0,1968,290000.0
Kirkland,3,1.5,1060,1060,1.0,1973,303500.0
Renton,4,2.25,2130,1380,1.0,1977,311100.0001
Kent,4,2.25,1930,1430,1.0,1984,312000.0
Burien,5,1.75,2320,1160,1.0,1956,315000.0
Renton,4,2.25,2310,2310,2.0,1980,320000.0
Renton,4,2.75,1970,1170,1.0,1977,323000.0
Seattle,3,2.25,998,798,2.0,2007,324000.0
Seattle,3,2.25,1352,1352,3.0,2007,325000.0001
Renton,4,2.5,1940,1940,2.0,2003,330000.0
Bellevue,3,1.0,1620,1620,1.5,1911,346750.0001
Renton,3,2.25,1640,1640,1.0,1972,352000.0
Seattle,3,2.0,1340,1340,3.0,2008,376000.0
Seattle,3,3.25,1410,1410,3.0,2005,382000.0
Issaquah,3,2.25,1445,1300,2.0,2003,387000.0
Federal Way,4,2.5,2600,2600,2.0,1988,402500.0
Ravensdale,4,2.25,3060,3060,2.0,1992,414999.9999
Seattle,4,2.0,1650,1000,1.0,1959,445000.0
Seattle,2,2.0,1150,860,1.0,1940,444999.9999
Seattle,4,1.75,1750,1050,1.5,1926,460000.0
Seattle,2,1.0,1150,1150,1.0,1905,463000.0
Federal Way,4,2.5,1930,1930,1.0,1968,464999.9999
Seattle,3,2.0,1410,1410,1.0,1940,481450.0
Seattle,2,1.0,1840,1130,1.5,1910,489999.9999
Sammamish,3,1.75,1750,1300,1.0,1987,491300.0
Snoqualmie,3,2.5,2100,2100,2.0,1999,505000.0
Bellevue,3,2.0,1400,1400,1.0,1963,511555.0
Issaquah,3,2.5,2030,2030,2.0,1991,525000.0
Issaquah,5,3.0,3480,2340,1.0,1976,532000.0002
Seattle,3,1.75,1300,1300,1.5,1925,535999.9999
Seattle,4,1.75,2000,1450,1.5,1926,536500.0001
Bellevue,4,2.5,2330,2330,2.0,1978,542500.0002
Kenmore,4,2.5,2840,2840,2.0,2012,557000.0001
Lake Forest Park,4,2.25,2470,2470,2.0,1984,565000.0
Redmond,3,2.25,1660,1370,1.0,1980,566000.0
Kenmore,4,2.5,2840,2840,2.0,1998,580000.0
Redmond,4,2.5,2660,2660,2.0,2001,582999.9999
Woodinville,4,3.25,2400,2400,2.0,1982,585000.0001
Woodinville,4,2.25,2430,2430,1.0,1993,590000.0001
Issaquah,4,2.5,2260,2260,2.0,1989,603999.9999
Woodinville,3,3.0,2480,1620,1.0,1976,610000.0
Seattle,4,2.75,3100,2000,2.0,1919,742500.0
Issaquah,4,2.75,2790,2790,2.0,1996,764999.9999
Seattle,4,3.5,2730,2400,2.0,2006,769900.0
Bellevue,4,2.5,2830,1980,2.0,1979,782000.0
Sammamish,4,2.75,3780,3780,2.0,1999,833000.0
Renton,4,3.5,3810,2560,1.0,2013,839900.0001
Redmond,3,2.5,3560,3560,2.0,1987,851000.0002
Sammamish,4,3.0,3750,3750,2.0,1976,920000.0
Woodinville,4,2.25,4230,4230,2.0,1989,985000.0
Sammamish,3,2.25,2950,2950,1.5,2006,1020000.0
Woodinville,4,4.25,5860,4910,2.0,1996,1157200.0
Bellevue,4,2.75,3720,1960,1.0,1962,1370000.0
Mercer Island,5,4.5,5190,3390,2.0,1987,1702500.0
Issaquah,5,6.5,7270,6420,2.0,2010,2238888.0
Kent,4,1.0,1940,1080,1.0,1962,265000.0
Maple Valley,3,2.5,2130,2130,2.0,2003,319999.9999
Seattle,3,2.5,1350,1270,3.0,2006,394950.0
Seattle,5,2.75,3060,1600,1.0,1979,549900.0
Seattle,4,2.0,2520,1400,1.0,1921,875000.0
Seattle,3,2.5,1370,1010,2.0,2007,368000.0
Seattle,4,2.5,2160,2160,2.5,1902,842500.0
Federal Way,3,1.0,970,970,1.0,1959,156000.0
Auburn,3,1.5,1370,1370,1.0,1961,185000.0
Normandy Park,2,1.0,700,700,1.0,1953,191999.9999
Kent,3,1.0,1460,1460,1.0,1969,201000.0
Seattle,3,2.5,1040,720,2.0,2004,210000.0
Burien,3,1.5,1350,1350,1.0,1941,211000.0
Renton,3,1.0,990,990,1.0,1966,225000.0
Seattle,1,1.0,810,810,1.0,1941,235000.0
Kenmore,3,1.0,1830,1830,1.0,1942,238750.0
Bellevue,3,1.5,1770,1160,1.0,1959,254000.0001
Seattle,2,1.0,1220,770,1.0,1910,255000.0
Redmond,2,1.0,1290,1290,2.0,2008,265000.0001
Kent,4,2.5,2380,2380,2.0,1997,268971.875
Seattle,2,1.75,1360,860,1.0,1975,299999.9999
Maple Valley,5,2.25,2180,2180,2.0,1986,302000.0
Seattle,3,1.75,1440,960,1.0,1951,315275.0
Burien,5,3.0,2100,1250,1.0,2013,330000.0
Renton,3,2.5,1940,1940,2.0,2004,334999.9999
Shoreline,3,1.0,1080,1080,1.0,1955,339000.0
Shoreline,3,1.5,1720,1720,1.5,1952,340999.9999
Seattle,2,1.0,910,910,1.5,1906,350000.0
Seattle,4,2.0,1730,1010,1.0,1943,359999.9999
Woodinville,3,1.0,1280,1280,1.0,1968,368000.0
Seattle,2,2.5,980,670,2.0,2009,369000.0
Seattle,5,3.0,2480,1300,1.0,2004,372499.9999
Maple Valley,4,2.5,2160,2160,2.0,2010,383000.0
Maple Valley,3,2.25,2200,2200,2.0,1987,410000.0
Redmond,2,2.5,1480,1480,3.0,2009,420000.0
Issaquah,3,2.5,2010,1390,2.0,2014,453246.0
Kirkland,3,1.5,2020,1190,1.0,1956,465000.0
Seattle,2,2.5,1230,870,2.0,2004,490000.0
Seattle,2,2.25,1290,1290,3.0,2007,500000.0
Kirkland,4,2.5,2780,1590,1.0,1978,505000.0
Seattle,4,1.75,1940,1030,1.0,1922,505000.0
Kirkland,4,2.25,1800,1360,1.0,1980,522000.0
Sammamish,3,2.5,3720,3720,2.0,1982,571986.1111
Seattle,4,1.75,2120,1190,1.0,1951,582000.0
Seattle,4,3.0,2110,1640,1.5,1930,610000.0
Vashon,2,1.75,2040,2040,1.5,1919,614999.9999
Seattle,3,1.5,1620,1280,1.0,1954,620000.0
Seattle,4,2.0,1770,1770,2.0,1911,630000.0
Seattle,3,2.5,1570,1570,3.0,2010,635000.0
Bellevue,4,2.5,2550,1290,1.0,1964,642000.0
Sammamish,4,2.5,3040,3040,2.0,1999,647000.0
Seattle,4,3.0,2400,1200,1.0,1964,675000.0
