index,residence space,building space,exchange rate,unit price of residence space,unit price of building space,total_cost
61,2920,6605,6.836105688,29.23092958,0.919304714,624999.9999225411
62,2530,9933,7.073425123,17.84117072,0.180309302,331949.99991783395
63,2200,7350,6.046779165,26.66874788,0.230131761,365000.000023832
64,2280,6010,6.270899122,41.8003431,0.805382111,627999.9999829963
65,2680,7392,6.055589845,46.35523645,0.507155438,774999.999979479
66,2850,7130,6.243772672,42.64539794,0.553386491,783499.9998717221
67,810,7158,7.296828326,33.86740683,0.111601625,206000.00000076176
68,1240,9600,7.591894639,22.2227672,0.148129404,220000.00003990336
69,1200,8063,7.72684238,20.77450855,0.631996939,232000.00002987325
70,1920,9306,6.049017282,20.3475122,0.154225582,244999.99999165023
71,1550,15040,6.858465508,17.69037562,0.599995338,249949.9999234003
72,1450,6000,6.775490428,27.00854759,0.532693893,286999.99996028317
73,1050,10072,6.198315033,41.94284058,0.432909834,300000.00000888575
74,2310,5000,7.595682627,17.61409043,0.023505356,309950.0000677322
75,1880,7838,6.974961159,23.27272804,0.087368553,309949.99995161
76,2370,6500,6.745857027,18.17293549,0.854242869,327999.99994010286
77,1140,5250,6.577604475,40.38412794,0.785663493,329950.00001296774
78,1120,9022,7.428402362,34.95125611,0.734301221,340000.00004427973
79,1160,1438,6.508539724,44.08489385,0.76535714,339999.99997469987
80,1571,2017,6.167811556,36.69200454,0.901732409,366749.9999745974
81,1970,9389,7.988727564,19.77954402,0.915439769,379949.99999674497
82,3090,12750,7.839322233,13.78347004,0.510408619,384899.9999235352
83,2230,4000,7.545823175,23.69181503,0.002764091,398749.99997965014
84,2110,9519,6.737409588,25.49122374,0.586565484,400000.00005475944
85,840,5510,7.900756381,55.14548224,0.781462605,399999.99998338794
86,1410,1240,6.625341022,42.62160519,0.832633503,405000.0000178107
87,1410,1332,6.908543321,41.24035337,0.475519659,406099.9999949899
88,1800,36704,7.950086786,25.48333982,0.155344169,409999.9999441745
89,1620,998,7.327000148,34.65283441,0.503238885,414999.99994022155
90,1408,989,6.118290625,48.09515702,0.325188329,416285.99995207204
91,1410,6030,6.595839667,44.50918476,0.102044841,418000.00000681967
92,1590,1426,7.330179162,35.59332312,0.416189243,419190.00003819604
93,1840,9240,6.53865355,35.9376749,0.043521241,434999.9999658379
94,1480,3844,7.602079056,38.24649748,0.647986373,449249.9999699407
95,3040,4535,7.516168047,20.74148588,0.119541199,478000.0000343306
96,2340,7048,6.458344621,30.77687422,0.436827079,484999.99990657147
97,2010,9211,7.811246113,27.18221119,0.845147531,487584.9999965071
98,2910,6479,7.7491122,21.08736288,0.467702963,499000.0000415429
99,2070,7519,7.055712921,32.97635943,0.365105238,500999.99997459847
100,1790,2700,6.034671033,47.05977576,0.095584981,509899.99999432464
101,1560,5520,7.113558836,45.30498427,0.541008913,524000.0000316822
102,2740,8426,6.09387286,30.70426814,0.554060644,541125.0000461389
103,2910,6338,6.341038861,29.17631044,0.264406739,549000.0000873212
104,1940,3211,6.071957364,45.67067257,0.872843061,554999.9999129812
105,1900,8744,7.310999816,36.48478406,0.832092975,559999.9999417498
106,2010,6000,6.278156551,44.4799862,0.231034997,569999.9999468933
107,2540,7000,6.116115297,34.8480701,0.902476934,579999.9999768168
108,1770,8640,7.038668541,44.5317359,0.496659397,584999.9998880783
109,1670,39639,7.064966637,38.26699094,0.530291284,600000.0000647134
110,1880,6360,7.43392241,40.99982141,0.570979299,599999.9999585248
111,2300,11700,6.416538914,39.66931172,0.393730524,614999.9999666901
112,1800,5000,7.315469218,44.25119854,0.978941841,618499.9999223965
113,1990,7712,7.249852838,43.08621596,0.096336142,626999.9999003417
114,2440,6651,7.57440661,33.48089222,0.254998288,631625.0001057932
115,2160,9000,6.67339354,43.21504964,0.45080127,650000.0000398236
116,1680,2000,7.704273264,50.98572821,0.654350427,669999.9999257537
117,2490,4343,6.6463109,42.19950489,0.242756085,705379.9999923083
118,2450,4247,7.618508304,36.67224695,0.856039474,712197.9999852033
119,3180,21904,6.736605589,32.31258718,0.300129191,736500.0000367132
120,2800,5900,7.553723257,33.7219367,0.69735961,744312.4999380829
121,2120,10202,7.402041283,46.68081903,0.297545028,754999.9999241385
122,2350,5700,7.767724558,40.81902087,0.56200521,770000.0000139353
123,2730,10281,6.387260194,44.33897571,0.104336536,779999.9999901572
124,3240,7857,6.909407491,33.9943749,0.718135887,800000.0000686995
125,3180,13806,6.663166777,33.84671427,0.90978183,800865.9999208617
126,2920,5000,7.871275749,34.20826756,0.933848515,822999.9998789635
127,3400,9692,7.792567538,29.98246108,0.471665458,829999.9999401424
128,2170,4000,7.088075843,53.14707104,0.477501922,831000.0000449358
129,3690,9892,6.062798931,38.18821845,0.177805433,865000.0001267862
130,4420,5750,7.821919405,25.00611621,0.566222655,890000.0001129404
131,4490,6000,6.28604995,30.9453368,0.439797692,890000.0000300757
132,3190,16920,7.330325503,40.58254727,0.653300943,1030000.0000198769
133,4010,8510,6.285942376,54.34275984,0.471127878,1394999.9999132857
134,13540,307752,7.442177152,14.36791487,0.363345796,2279999.9994228426
135,1420,8580,7.274198783,11.21269518,0.331343367,136500.00005390286
136,1010,7034,6.203209507,21.02726981,0.991421676,175000.00003007037
137,800,8850,7.99793349,20.96490151,0.803304816,190999.99996260196
138,1690,7735,6.403011363,14.33659698,0.845239114,196999.9999583116
139,1850,7684,7.304641389,16.11566936,0.003910768,217999.9999911172
140,900,5160,6.026750745,37.44938414,0.51037653,218999.99999220792
141,1490,8366,6.912240622,17.17783945,0.987091488,233999.99999859373
142,1050,6874,6.709705365,34.83412808,0.099450933,249999.99998378052
143,1650,13816,6.377775256,19.38003374,0.772368618,272000.00006700464
144,1580,8151,7.545590932,18.92372086,0.882717613,279899.99996084353
145,1970,11088,7.447117983,13.88529598,0.923918147,279999.9999982605
146,1630,11800,6.37180511,22.47601045,0.619296129,279999.9999520011
147,2000,5390,7.262736465,17.19430384,0.874788592,284000.000021988
148,1980,8000,6.033263716,23.82110941,0.216224399,295000.0000228788
149,1300,7054,6.741871239,30.43001107,0.952500504,311999.9999678889
150,1510,6083,7.857909498,23.76977481,0.667600595,313950.00003727875
151,1890,6156,7.039593149,23.58560983,0.258388274,324999.9999163915
152,720,6687,7.767954241,57.89920477,0.106344108,329350.0000490701
153,2331,3826,7.315431444,19.03981183,0.726288555,344999.99999695143
154,1110,6250,6.941293279,43.14853523,0.28922869,344999.9999881136
155,1350,7740,7.80106809,33.15129511,0.064078235,353000.00001272437
156,2680,18768,7.685638568,12.5913648,0.697770274,360000.00004378264
157,1640,14374,7.347036227,21.38125251,0.988334114,361999.99998721975
158,1310,8160,6.786610867,39.14226847,0.307107333,364999.99995231006
159,1410,9647,7.126380899,36.52400571,0.007266998,367500.00007856876
160,1270,1320,6.195681903,47.00404153,0.011976373,369950.0000062542
161,1500,11600,6.335647357,33.97620505,0.775689172,379899.99999713356
162,1900,5520,6.259495209,29.88172647,0.857115379,385000.0000220928
163,1230,9568,6.732067622,43.88295298,0.366850063,386999.999942929
164,2890,5000,6.815399691,18.57009549,0.711154748,389999.9999049388
165,1260,6500,7.718289819,35.08251177,0.973132839,390000.0000529905
166,1440,7680,7.342406238,36.32035044,0.230229621,397000.0000307762
167,1840,10720,7.567465929,24.3113073,0.80724122,404000.00001235085
168,1520,7983,7.179957532,34.9443241,0.761264942,424999.99997817795
169,3020,4082,7.035427296,20.64025273,0.027511112,439333.3333203549
170,2240,7770,6.407137289,29.99391245,0.49268862,454999.99997698574
171,3470,117612,6.941112469,19.12709066,0.017530777,474999.9996897641
172,2740,45732,7.448757998,14.77136992,0.534343491,483499.99979227094
173,1660,6000,7.405129567,36.81497135,0.707874391,484000.0000296546
174,1420,4080,7.591634747,43.96555771,0.356621667,484999.99999712646
175,2020,5000,6.587722764,34.68136892,0.804165235,488000.00003548595
176,1170,2400,7.384240469,56.55556259,0.5859747,499000.0000327646
177,1480,1171,6.318972162,52.93770696,0.665231722,500000.00000639487
178,2000,5684,7.338090402,34.83200328,0.043136772,512999.9999740225
179,1790,7167,6.746891424,40.94837592,0.423309099,515000.0000519403
180,1430,8000,6.289467993,55.96702812,0.290882119,518000.0000119136
181,2460,54885,7.823270627,11.38090799,0.700944345,519999.99994631426
182,2970,11985,7.93265174,22.25046645,0.008199522,524999.9999294389
183,2910,9636,6.90858692,24.97662283,0.418654006,530000.0000221782
184,1800,3780,6.811713276,42.25796541,0.57757423,532999.9999904677
185,1850,10109,6.723245051,37.77013612,0.959532816,534999.999935508
186,2000,7000,7.809158366,35.88709741,0.009218957,561000.0000077933
187,3040,8111,7.114473149,24.96310514,0.382944536,562000.0001000765
188,3100,15480,7.400867765,20.41471855,0.82600342,563000.00006315
189,2130,6500,6.333696437,41.70090473,0.301744887,575000.0000900916
190,3569,8327,7.878201452,18.77074638,0.795973398,580000.0001468114
191,2260,29930,7.484127273,32.50232575,0.219872899,599000.000060986
192,2110,13850,6.901573955,38.01767759,0.547924755,606000.0000277302
193,2150,37981,6.500301142,35.8816215,0.435546219,608999.9999792627
194,2450,10117,7.640243892,30.72746035,0.450539224,609999.9999771853
195,2060,5000,7.798696583,36.47350344,0.680669626,612499.9999261779
196,1630,7475,7.858570366,49.45866613,0.280216659,649999.9999607676
197,3380,8330,7.953365869,23.03137142,0.548847622,655499.9998984691
198,3030,7864,6.805185332,33.0089779,0.081553157,684999.9999661157
199,3200,12369,7.692372467,27.57975066,0.485923204,725126.0000418505
200,2290,12047,6.542495614,44.16922557,0.941958364,736000.0000833431
201,3880,14550,7.871364274,23.07250369,0.503326249,762300.000181563
202,3040,6425,7.071184477,36.05880796,0.019048349,776000.0000960794
203,3740,32417,6.75222445,30.31358403,0.431644819,860000.000036114
204,2690,4047,7.104839757,50.65957927,0.375371394,979000.0000556486
205,3370,8103,7.762095445,42.00631031,0.57535924,1135000.0000273243
206,3490,6906,7.336396945,47.38444564,0.232259286,1225000.0000560926
207,3760,10920,7.892512008,51.1550811,0.718557175,1580000.0001261567
208,4510,15175,7.328692651,54.27050294,0.685436777,1869999.9999038402
209,1040,13100,7.242955583,15.41811291,0.46225894,159999.9999705083
210,1570,7200,6.514145822,16.91028953,0.069931905,176224.99998115376
211,1490,6600,6.0853906,20.15936805,0.05503327,184999.99999182014
212,1380,11130,7.919512163,17.14181037,0.256493532,209950.000079541
213,1640,10762,7.249254054,14.44245144,0.702376294,226499.99999285897
214,1920,9180,6.778293459,14.56807812,0.649361065,230000.00008097864
215,1410,7566,6.57505079,22.76085181,0.580704351,239900.00002413403
216,1260,1270,6.60221633,28.60308151,0.84162836,244999.99998816283
217,1400,7410,7.959992686,21.19233027,0.166705618,245999.99998285872
218,1720,10018,7.697513804,13.21942651,0.952858588,248499.9999340228
219,1110,8423,6.59942323,29.30054932,0.618183572,248999.99995538677
220,1100,4373,6.049013854,37.17901445,0.098818833,249999.99996485544
221,1250,10122,6.319465112,26.9212505,0.63065311,253000.00001671934
222,2060,8632,6.226345579,19.82777247,0.012719116,254999.99998358692
223,1600,7000,7.695986119,18.17701634,0.94995522,275000.000007503
224,1600,4271,6.605858194,24.44896392,0.765225374,280000.0000147889
225,1840,10723,7.559837251,18.91183358,0.578979762,310000.00002617686
226,2190,8000,6.150565237,21.21606221,0.55330694,313000.0000261721
227,1870,12381,7.464150383,20.65801293,0.283034572,314499.9999928847
228,1040,16986,7.10802594,28.47268637,0.86526984,314949.9999378068
229,1680,1570,6.472472555,30.1318728,0.231596272,329999.9999518474
230,1630,12295,6.872477836,24.14346432,0.822413402,339949.9999813228
231,1010,9360,6.922849697,47.19993137,0.308256863,349999.9999996394
232,2420,8560,7.528657447,16.71467496,0.736585352,352000.0000015994
233,820,6400,7.22893312,55.3718682,0.714377195,361279.9999734414
234,2410,5003,6.736957923,21.58398029,0.432013507,364999.99999385496
235,1830,13042,7.665932902,22.79298634,0.552565581,374999.9999418761
236,1640,17335,6.979394602,24.56824779,0.812369033,379499.99994848773
237,3000,6000,6.100794389,19.92971766,0.416302917,380000.00002439425
238,1660,8307,6.718267225,31.6562716,0.931020894,404999.99998801795
239,2140,13000,6.20603554,25.00653525,0.959243676,409499.99997874355
240,1830,9548,6.360993904,34.84820891,0.153870389,414999.99998278846
241,1606,1452,6.422977118,40.04606256,0.446357284,417249.99992967653
242,1770,8165,7.647339487,28.70356501,0.504072398,419999.9999625911
243,1150,1027,7.491794709,48.6294737,0.783676092,425000.00002258684
244,1350,3900,7.67727139,40.21056767,0.375565958,427999.9999697466
245,1500,6180,6.099107555,44.74401271,0.813217313,440000.0000606796
246,1600,3573,7.285251317,36.69762911,0.656263754,444844.999996099
247,1760,9055,6.980068392,33.94044952,0.681031686,460000.00000707805
248,2180,11200,7.838798089,24.00270444,0.801050614,480500.0001041396
249,1610,4160,6.162008489,48.72323077,0.06338982,485000.0000154138
250,3305,16164,6.300667832,22.24142505,0.283286977,492000.0000358071
251,2656,21195,7.703927058,21.64260809,0.319423341,494999.999997318
252,1940,37565,6.998761995,22.7141231,0.728758353,499999.99984045455
253,2280,2289,6.050006822,35.84095646,0.428443796,500324.0000623165
254,1540,6760,6.498264177,49.3851495,0.200023107,502999.9999400675
255,2430,5203,7.152976461,28.73793108,0.281725518,509999.99998530984
256,1580,9147,6.152773093,48.43343122,0.784658796,515000.0000025216
257,1170,1249,7.983695515,55.05039218,0.574477874,519949.99997757934
258,1550,2400,7.619271269,44.41282404,0.081498443,525999.9999723665
259,1340,4284,7.293083604,53.25989495,0.304232796,529999.9999648718
260,3700,7647,6.995068157,19.54396856,0.638755423,540000.0000425309
261,4120,60392,7.914514942,11.1357866,0.411919337,560000.0000990558
262,1860,13374,7.56674284,32.72935598,0.981865067,559999.999942737
263,2350,5080,7.851893768,28.9026574,0.869683381,567999.9999851808
264,1650,5000,7.033481581,47.43845647,0.695675636,575000.0000519275
265,2510,13695,6.071732965,37.80126174,0.059010826,581000.0000357144
266,1960,4788,6.059335083,50.30085638,0.055566555,599000.0000348459
267,3830,6988,6.377368449,24.38143812,0.100404768,599998.9999942324
268,2460,108900,6.908777372,28.16549818,0.161238943,600000.0003230681
269,2030,6500,7.507499011,38.14490168,0.752953656,618080.0000040706
270,2550,5663,7.567488936,31.43397573,0.546393592,629999.9999739516
271,2270,5175,7.89465306,35.20692438,0.221798772,640000.0000000783
272,3240,108366,6.551457065,27.54570621,0.093379108,651000.0004051366
273,2650,4316,7.033816439,36.63747365,0.727705529,705000.0001115353
274,2600,6050,6.284093511,43.74371887,0.926831463,749950.0000084307
275,2520,5401,7.569661724,38.00325076,0.613133279,750000.0001029768
276,2410,9549,6.211030496,50.16284865,0.120271729,758000.00001803
277,2540,7200,6.341827878,46.42273346,0.595940554,774999.9998998756
278,2210,8556,7.679794228,43.67038924,0.806063484,794153.999991155
279,4130,226076,7.419454264,18.05857911,0.206659665,899999.9990820182
280,3900,8391,6.797349356,37.38529825,0.857842106,1040000.000052148
281,4460,103382,6.29018376,36.75706866,0.182701257,1150000.0000841909
282,3560,6480,7.592877555,55.1352474,0.196308697,1499999.9999907631
283,4270,8076,7.057786285,50.00432604,0.44794466,1532499.9998681897
284,980,5000,7.767036165,15.32320714,0.447131021,133999.9999927648
285,720,5040,7.500458652,37.54987028,0.058681608,205000.00001579645
286,1490,8995,6.67415974,17.83244892,0.494140223,207000.00003117073
287,2000,6120,6.5122296,16.75645452,0.244794373,228000.0000623915
288,1190,3000,6.362356955,29.73744556,0.201796817,229000.0000097043
289,1390,16000,6.258275638,24.81214592,0.141403416,230000.00004504004
290,950,6000,7.940447798,26.84237297,0.577561082,230000.00000625907
291,1270,3008,6.689630665,25.68726794,0.833166351,234999.99995905196
292,1260,7964,7.997297367,19.0263791,0.836528358,244999.99996634616
293,1390,7399,6.117068021,28.80726334,0.023415167,246000.00001636916
294,1730,8320,6.864820235,20.46492211,0.261851712,257999.9999633887
295,2130,8800,7.085137649,16.26483722,0.233230851,260000.0000683432
296,2020,6236,6.268136297,20.51627025,0.057062586,261999.9999815737
297,1940,8547,7.632599235,13.80867755,0.943217351,265999.9999774941
298,1810,6509,7.737599465,16.74773573,0.703816513,269999.9999905563
299,1890,13860,7.25335452,17.76119007,0.485424009,292285.7143163796
300,1920,7229,7.981376777,15.88248327,0.894546111,294999.99999638466
301,1240,10800,6.857097786,26.77896974,0.948648592,297950.000030107
302,860,1277,6.413798694,57.94963788,0.281733008,321950.00003319007
303,2320,6270,7.865566361,17.80606432,0.019727623,325900.00002391846
304,2460,7350,6.172538152,21.7162494,0.39126189,347499.9999663712
305,1590,9620,7.996641319,25.12634824,0.38382841,349000.00004664354
306,2250,13515,6.445213467,22.83795425,0.215942851,350000.00003440003
307,960,1808,7.427770501,49.56433918,0.340563386,358000.0000276827
308,3206,5793,7.403113298,14.65841789,0.631706686,375000.00007826224
309,1890,9920,6.745908094,25.78089949,0.84130386,384999.9999463413
310,1960,8000,7.443076631,24.20751033,0.820400415,401999.9999421453
311,2090,8354,6.515921853,26.21269698,0.845578695,402999.9999333788
312,1020,8155,7.28155771,51.72214762,0.351119127,404999.99992533715
313,1540,1614,6.78789117,39.54913596,0.00264198,413450.00000154006
314,1460,7700,7.529829186,36.64587431,0.373091475,424500.00002862286
315,1310,9282,7.131817717,42.62342052,0.58586731,436999.99999731744
316,1020,1060,7.621997454,56.78024515,0.039055078,441750.00001759845
317,1510,43560,6.856311385,15.53310751,0.968272867,450000.00009166636
318,2440,20828,7.02826823,28.17073723,0.047072835,489990.00003127294
319,2310,4729,7.10471082,29.81922861,0.13721991,493999.99999368534
320,1410,1197,7.220087572,48.58024027,0.629155248,500000.00003203447
321,2280,2850,7.07720193,32.56087388,0.227916163,530000.0000022177
322,1980,6760,6.885491857,36.04667469,0.828553986,530000.0000509777
323,1670,4080,7.774601993,38.72199164,0.953636783,532999.9999895828
324,2280,65836,7.458776476,23.70874715,0.268419077,535000.0002232131
325,2920,33976,6.638625153,24.05873426,0.315341873,537499.9999312825
326,2550,4630,7.254554312,28.29033917,0.421387333,537500.0000043891
327,1840,9600,6.112129878,47.24423912,0.113780187,537999.9999919368
328,2820,15600,6.99378706,27.34291249,0.036020695,543200.0000069718
329,1870,4950,7.665376666,38.53936355,0.19810869,559949.9999689021
330,2250,41688,6.880376138,36.59987642,0.008377595,569000.0000465733
331,3160,66646,6.195569617,17.73008147,0.587974388,589899.9998126128
332,1750,3354,6.403922346,51.21201,0.981153834,594999.999995451
333,1540,6872,7.836807827,49.47877171,0.331566025,615000.0000062677
334,2060,26036,7.804315308,29.65984578,0.839900031,647500.0000200585
335,3290,6465,7.340818391,29.47639249,0.097074991,716499.9999284273
336,1690,4500,7.331722406,57.63021897,0.149317122,718999.9999880604
337,2660,5500,7.891528862,35.55337566,0.174421698,753888.0000836259
338,2480,9195,6.326586416,48.74604259,0.260908045,780000.0000035524
339,3040,9601,6.025025171,44.3950418,0.291410636,830000.0000698846
340,2920,3942,6.640963976,44.1016496,0.507962914,868500.0000993795
341,2640,4080,7.075157195,49.71965975,0.045573775,930000.0000288999
342,3160,11470,7.124658278,41.79468328,0.477703361,980000.000080554
343,3410,5000,6.326860053,47.88123127,0.189096437,1038999.9999573051
344,3820,24166,6.753958369,45.74292194,0.427819655,1249999.9999366193
345,720,18000,7.295405726,25.46486162,0.466358359,195000.000004627
346,1160,8320,6.122547097,26.28881778,0.290397911,201500.00003927416
347,1020,1525,6.043949444,33.10804538,0.85652174,212000.00000943185
348,1430,8355,6.55274876,23.15108477,0.138166401,224500.00003822419
349,2000,9202,6.137803474,14.99183228,0.725320654,225000.00004582186
350,1360,9948,7.000750915,24.53753819,0.019062486,234950.00006608514
351,2163,5883,6.013769526,17.23542651,0.672865245,247999.99993096484
352,1220,7250,7.91716792,22.1684471,0.642448326,250999.99998120172
353,1030,6127,6.271578536,37.09925519,0.3343828,252499.99999034533
354,1850,4597,7.007211627,17.93959333,0.665678134,254000.0000215905
355,960,28717,6.657448016,35.97037982,0.131329896,255000.00001473693
356,810,7980,6.001403089,51.32074333,0.115321013,255000.0000273405
357,1920,8075,6.17176423,18.113337,0.910183446,260000.00003516275
358,1420,14850,6.717614006,25.857025,0.133821075,260000.00004337082
359,1690,9583,7.13968055,20.79822278,0.278391058,269999.9999875676
360,1500,6337,6.788333367,25.55554021,0.22736496,269999.9999672887
361,2190,14439,7.003962309,15.65878938,0.393699169,280000.0000008186
362,1390,8700,7.814406562,23.36203221,0.399954172,280949.9999505682
363,2000,13300,6.098532205,22.68136612,0.164638612,290000.0000427628
364,1060,10464,6.808511861,32.46836326,0.97095656,303500.0000319501
365,2130,8078,6.586496968,18.49163625,0.971256881,311100.0000741755
366,1930,7452,6.403866205,21.70335684,0.916947057,311999.9999920312
367,2320,8100,6.030881624,20.35526429,0.618142751,314999.9999509998
368,2310,7490,6.500704978,19.24344279,0.637260012,320000.00002149655
369,1970,7213,6.338371455,25.58872397,0.076206279,323000.0000085891
370,998,904,7.075313856,45.10004582,0.866344954,323999.99999951705
371,1352,1694,6.072923761,39.22250081,0.287728113,325000.0000610546
372,1940,3784,7.196468414,21.91170341,0.884545695,329999.9999905725
373,1620,30736,6.834065572,22.4567554,0.467156485,346750.0000511985
374,1640,11050,7.73840372,26.52749427,0.17939609,352000.00000045897
375,1340,1384,7.401064781,36.96037715,0.92239548,375999.99996967375
376,1410,1253,6.297372832,42.55639494,0.523303858,381999.9999967629
377,1445,1606,7.884223853,32.86845616,0.990314537,387000.000028506
378,2600,11951,6.094173005,22.58709535,0.612521917,402499.9999992416
379,3060,48787,6.623395551,18.43331277,0.128123201,414999.99994895974
380,1650,6000,7.749344655,32.89688991,0.524057053,445000.0000192838
381,1150,6634,7.362814417,49.95209917,0.451301031,444999.99993980146
382,1750,5500,6.178798768,39.75298973,0.887344676,459999.99999380205
383,1150,4400,7.639975651,50.19173648,0.654952372,463000.00004533643
384,1930,9653,7.99288906,27.06182601,0.616118013,464999.9999263002
385,1410,4800,7.495257803,43.65876125,0.557311383,481449.999971242
386,1840,3300,6.991296333,37.40527842,0.38225234,489999.9999324105
387,1750,11340,6.259929681,44.47835796,0.056982654,491300.0000191569
388,2100,5824,7.57032912,30.25634372,0.544209834,505000.0000021834
389,1400,7293,6.945585251,50.96367116,0.315738536,511555.000028904
390,2030,6970,6.521272973,37.60821668,0.596997774,524999.9999821996
391,3480,57499,7.336126556,12.37376933,0.512306574,532000.0002115045
392,1300,5413,7.481205191,54.53347608,0.139052528,535999.9999484817
393,2000,4000,7.112564483,37.26167251,0.226637774,536500.0000710412
394,2330,14289,7.822221494,27.88372082,0.306853534,542500.0001526492
395,2840,4500,7.364638329,25.22235954,0.888929571,557000.0000743886
396,2470,7447,7.745442216,28.73013629,0.266239945,564999.9999933448
397,1660,10140,7.726504738,43.7838746,0.056519478,566000.0000121312
398,2840,6268,6.933441251,27.27417526,0.98817587,579999.9999555184
399,2660,4000,7.062296345,30.13783428,0.596103456,582999.9999399496
400,2400,29252,6.947000176,26.25028802,0.725021117,585000.0000831619
401,2430,32496,6.763013404,24.81364197,0.829088747,590000.0000771828
402,2260,7753,7.734439977,31.37875907,0.925613017,603999.9998798479
403,2480,45302,6.018147295,37.83743437,0.166069066,609999.9999940161
404,3100,3773,6.761708124,35.26885987,0.126176972,742499.99996739
405,2790,10819,7.61101104,35.92833932,0.025159786,764999.9998794269
406,2730,3047,7.928746087,35.13227437,0.390960423,769900.0000127646
407,2830,20345,6.122647993,40.10882708,0.698674581,782000.000045119
408,3780,10308,6.311924604,33.53677201,0.50479505,833000.0000250398
409,3810,13592,6.934369295,31.54470011,0.068865363,839900.00005227
