number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,city,zip code,exchange rate,total cost
3,1.75,2910,35200,1.5,0,0,3,2910,0,1979,2014,Sammamish,WA 98075,6.563174597,550000.0001
4,2.5,1940,10500,1,0,0,4,1140,800,1976,1992,Redmond,WA 98052,7.562160105,550000
4,2.5,3310,6500,2,0,0,3,3310,0,2012,1912,Snoqualmie,WA 98065,7.959386377,554999.9999
3,1.75,2330,14892,1,0,0,3,1970,360,1980,0,Sammamish,WA 98074,7.095021468,588500
3,2.5,3240,33151,2,0,2,3,3240,0,1995,0,Federal Way,WA 98023,6.70055996,603999.9999
4,2.5,2730,12261,2,0,0,3,2730,0,1991,0,Bothell,WA 98011,6.914442703,612499.9999
3,1.75,2360,7291,1,0,0,4,1360,1000,1948,0,Seattle,WA 98136,6.317630578,615000
4,3.25,2730,54014,1,0,0,3,1560,1170,2007,0,Renton,WA 98059,6.859682624,624999.9998
4,2.5,2820,8408,2,0,0,3,2820,0,2014,0,Shoreline,WA 98155,6.36074285,625000
3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,Seattle,WA 98102,6.605479643,626000.0001
4,2.75,2710,37277,2,0,0,3,2710,0,2000,0,Issaquah,WA 98027,6.070141424,630000.0001
4,2,1520,6200,1.5,0,0,3,1520,0,1945,2010,Seattle,WA 98115,7.608990677,640000
4,2,1820,5000,1.5,0,1,3,1640,180,1945,2010,Seattle,WA 98115,6.552606479,650000
4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,Kirkland,WA 98033,6.54788932,697999.9999
3,2.5,2390,6550,1,0,2,4,1440,950,1955,2009,Seattle,WA 98116,7.685164244,750000
3,1.75,2240,10578,2,0,0,5,1550,690,1923,0,Seattle,WA 98115,6.218582162,750000
5,3.25,3660,11995,2,0,2,3,3660,0,2006,0,Snoqualmie,WA 98065,7.802356216,785000.0001
3,2.5,2600,4750,1,0,0,4,1700,900,1951,1999,Seattle,WA 98117,6.490620422,789999.9999
3,2,2710,4500,1.5,0,0,4,1880,830,1929,0,Seattle,WA 98115,6.182380239,805000
4,2.5,3310,42998,2,0,0,3,3310,0,2001,0,Redmond,WA 98052,7.868323021,838000.0002
5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,Seattle,WA 98105,6.85237045,1200000
3,1,1010,9945,1,0,0,4,1010,0,1973,0,Snoqualmie,WA 98065,6.4636882,310000
3,2.5,1650,14054,1,0,0,4,1130,520,1986,0,Issaquah,WA 98027,6.520531852,379880
4,2.75,2920,6605,2,0,0,3,2920,0,2012,1912,Renton,WA 98059,6.836105688,624999.9999
4,2.5,2530,9933,2,0,2,3,2010,520,1990,2009,Auburn,WA 98092,7.073425123,331949.9999
3,2.5,2200,7350,1,0,0,5,1570,630,1988,0,Renton,WA 98058,6.046779165,365000
4,2,2280,6010,1,0,0,3,1140,1140,1900,2005,Seattle,WA 98122,6.270899122,628000
2,2.5,2680,7392,1,0,0,3,2680,0,2004,2003,Redmond,WA 98053,6.055589845,775000
3,2.5,2850,7130,2,0,0,3,1990,860,1980,0,Seattle,WA 98122,6.243772672,783499.9999
2,1,810,7158,1,0,0,5,810,0,1944,0,Burien,WA 98168,7.296828326,206000
4,1.5,1240,9600,1,0,0,3,1240,0,1971,0,Federal Way,WA 98023,7.591894639,220000
2,1,1200,8063,1,0,0,4,1200,0,1958,1972,Des Moines,WA 98198,7.72684238,232000
3,1.75,1920,9306,1,0,0,3,1000,920,1984,0,Auburn,WA 98001,6.049017282,245000
3,2,1550,15040,1,0,0,4,1550,0,1958,1972,Renton,WA 98059,6.858465508,249949.9999
3,1,1450,6000,1,0,0,4,1450,0,1953,1983,Seattle,WA 98118,6.775490428,287000
3,2,1050,10072,1,0,0,3,1050,0,1986,0,Duvall,WA 98019,6.198315033,300000
4,2.75,2310,5000,2,0,0,3,2310,0,2006,0,Maple Valley,WA 98038,7.595682627,309950.0001
3,2.5,1880,7838,2,0,0,3,1880,0,1994,0,Renton,WA 98055,6.974961159,309950
4,2.5,2370,6500,2,0,0,3,2370,0,1998,2006,Auburn,WA 98092,6.745857027,327999.9999
2,1,1140,5250,1.5,0,0,4,1140,0,1949,1985,Seattle,WA 98133,6.577604475,329950
5,1,1120,9022,1.5,0,0,4,1120,0,1962,0,Kirkland,WA 98034,7.428402362,340000
2,1.5,1160,1438,2,0,0,3,1160,0,2001,0,Seattle,WA 98144,6.508539724,340000
3,3,1571,2017,3,0,0,3,1571,0,2008,0,Seattle,WA 98125,6.167811556,366750
4,1.75,1970,9389,1,0,0,5,1140,830,1960,0,Shoreline,WA 98133,7.988727564,379950
5,2.5,3090,12750,1,0,0,3,1750,1340,1968,1997,Federal Way,WA 98023,7.839322233,384899.9999
3,2.5,2230,4000,2,0,0,3,2230,0,1954,2005,Seattle,WA 98144,7.545823175,398750
2,1.75,2110,9519,1,0,0,2,2110,0,1948,0,Shoreline,WA 98155,6.737409588,400000.0001
2,1,840,5510,1,0,0,3,840,0,1955,2005,Seattle,WA 98136,7.900756381,400000
2,3,1410,1240,2,0,0,3,1140,270,2006,0,Seattle,WA 98136,6.625341022,405000
3,2.25,1410,1332,3,0,0,3,1410,0,2005,0,Seattle,WA 98103,6.908543321,406100
3,2.25,1800,36704,1,0,0,4,1360,440,1978,2000,Issaquah,WA 98027,7.950086786,409999.9999
3,2.25,1620,998,2.5,0,0,3,1540,80,2010,0,Issaquah,WA 98029,7.327000148,414999.9999
3,2.5,1408,989,3,0,0,3,1408,0,2005,0,Seattle,WA 98115,6.118290625,416286
3,2,1410,6030,1.5,0,0,4,1410,0,1930,0,Seattle,WA 98103,6.595839667,418000
2,2.5,1590,1426,2,0,0,3,1590,0,2014,0,Issaquah,WA 98029,7.330179162,419190
5,2,1840,9240,1,0,0,4,1540,300,1942,1958,Seattle,WA 98133,6.53865355,435000
4,2,1480,3844,1.5,0,0,5,1480,0,1928,1970,Seattle,WA 98133,7.602079056,449250
3,2.5,3040,4535,2,0,0,3,3040,0,2007,0,Renton,WA 98056,7.516168047,478000
4,3,2340,7048,1,0,0,4,1340,1000,1979,0,Kirkland,WA 98034,6.458344621,484999.9999
4,1.75,2010,9211,1,0,0,3,1470,540,1977,2004,Kirkland,WA 98034,7.811246113,487585
4,2.5,2910,6479,2,0,0,3,2910,0,2006,0,Snoqualmie,WA 98065,7.7491122,499000
4,1,2070,7519,1,0,0,3,1160,910,1963,2008,Bellevue,WA 98008,7.055712921,501000
3,2.5,1790,2700,2,0,0,3,1790,0,2010,0,Issaquah,WA 98027,6.034671033,509900
3,1.75,1560,5520,1,0,0,4,780,780,1944,0,Seattle,WA 98199,7.113558836,524000
5,2.75,2740,8426,1,0,0,4,1370,1370,1960,2001,Bellevue,WA 98006,6.09387286,541125
4,2.5,2910,6338,2,0,0,3,2910,0,2008,0,Renton,WA 98059,6.341038861,549000.0001
3,2.5,1940,3211,2,0,0,3,1940,0,2009,0,Issaquah,WA 98027,6.071957364,554999.9999
3,2.5,1900,8744,2,0,0,3,1900,0,1987,2000,Sammamish,WA 98074,7.310999816,559999.9999
3,2.25,2010,6000,1,0,0,3,1330,680,1975,0,Redmond,WA 98052,6.278156551,569999.9999
2,1,2540,7000,1,0,0,5,1320,1220,1942,0,Seattle,WA 98118,6.116115297,580000
2,1,1770,8640,1.5,0,0,3,1520,250,1949,1998,Seattle,WA 98117,7.038668541,584999.9999
3,1.75,1670,39639,1,0,0,4,1670,0,1976,1992,Sammamish,WA 98075,7.064966637,600000.0001
3,1.75,1880,6360,1,0,0,4,1040,840,1945,0,Seattle,WA 98115,7.43392241,600000
4,1.75,2300,11700,1,0,0,4,1960,340,1977,0,Redmond,WA 98052,6.416538914,615000
3,2,1800,5000,1,0,0,4,1080,720,1942,1982,Seattle,WA 98115,7.315469218,618499.9999
4,2.25,1990,7712,1,0,0,3,1210,780,1973,2013,Issaquah,WA 98027,7.249852838,626999.9999
4,2.5,2440,6651,2,0,0,3,2440,0,2014,0,Seattle,WA 98117,7.57440661,631625.0001
3,1.5,2160,9000,1,0,2,4,1400,760,1949,1985,Seattle,WA 98177,6.67339354,650000
3,2.5,1680,2000,3,0,0,3,1680,0,1909,1998,Seattle,WA 98105,7.704273264,669999.9999
3,2.5,2490,4343,2,0,0,3,2490,0,2003,0,Issaquah,WA 98029,6.6463109,705380
4,2.5,2450,4247,2,0,0,3,2450,0,2013,1923,Redmond,WA 98052,7.618508304,712198
4,2.5,3180,21904,2,0,3,3,3180,0,2000,0,Renton,WA 98059,6.736605589,736500
4,2.5,2800,5900,1,0,0,3,1660,1140,1963,2008,Seattle,WA 98115,7.553723257,744312.4999
4,2.5,2120,10202,1,0,0,4,1620,500,1960,2001,Bellevue,WA 98005,7.402041283,754999.9999
3,2,2350,5700,1.5,0,0,4,1810,540,1939,1989,Seattle,WA 98112,7.767724558,770000
4,2.5,2730,10281,2,0,2,3,2730,0,1996,0,Sammamish,WA 98074,6.387260194,780000
3,2.5,3240,7857,2,0,0,3,3240,0,1994,0,Sammamish,WA 98075,6.909407491,800000.0001
5,2.5,3180,13806,2,0,0,4,3180,0,1990,0,Kirkland,WA 98033,6.663166777,800865.9999
6,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0,Seattle,WA 98122,7.871275749,822999.9999
4,2.5,3400,9692,2,0,0,3,3400,0,2007,0,Redmond,WA 98052,7.792567538,829999.9999
4,3,2170,4000,2,0,0,4,1610,560,1982,2011,Seattle,WA 98112,7.088075843,831000
4,3,3690,9892,2,0,0,3,3690,0,1998,2006,Sammamish,WA 98075,6.062798931,865000.0001
4,4.25,4420,5750,2,0,0,3,3410,1010,2006,0,Issaquah,WA 98027,7.821919405,890000.0001
5,3.5,4490,6000,2,0,0,3,3200,1290,2006,0,Issaquah,WA 98027,6.28604995,890000
5,2.75,3190,16920,1,0,3,3,1690,1500,1976,0,Bellevue,WA 98006,7.330325503,1030000
5,3.5,4010,8510,2,0,1,5,2850,1160,1971,0,Seattle,WA 98105,6.285942376,1395000
7,8,13540,307752,3,0,4,3,9410,4130,1999,0,Redmond,WA 98053,7.442177152,2279999.999
3,1.5,1420,8580,1,0,0,3,1420,0,1962,2003,Federal Way,WA 98023,7.274198783,136500.0001
3,1,1010,7034,1,0,0,3,1010,0,1954,2005,Renton,WA 98057,6.203209507,175000
3,1.5,800,8850,1,0,0,4,800,0,1959,0,Federal Way,WA 98023,7.99793349,191000
3,1.75,1690,7735,1,0,0,4,1060,630,1976,1992,Auburn,WA 98001,6.403011363,197000
3,1.75,1850,7684,1,0,0,3,1320,530,1979,2014,Federal Way,WA 98023,7.304641389,218000
2,1,900,5160,1,0,0,3,900,0,1952,2008,Seattle,WA 98106,6.026750745,219000
3,1.75,1490,8366,1,0,0,4,1010,480,1975,0,Covington,WA 98042,6.912240622,234000
3,1,1050,6874,1,0,0,3,1050,0,1954,2005,Shoreline,WA 98133,6.709705365,250000
3,2.5,1650,13816,2,0,0,3,1650,0,1998,2006,Carnation,WA 98014,6.377775256,272000.0001
3,1.75,1580,8151,1,0,1,4,1100,480,1962,0,Des Moines,WA 98198,7.545590932,279900
3,2.25,1970,11088,1,0,0,4,1180,790,1967,0,Lake Forest Park,WA 98155,7.447117983,280000
3,1.75,1630,11800,1,0,0,4,1630,0,1971,0,North Bend,WA 98045,6.37180511,280000
4,2.5,2000,5390,2,0,0,3,2000,0,2003,0,Kent,WA 98042,7.262736465,284000
3,2.25,1980,8000,1,0,0,4,1560,420,1974,0,Federal Way,WA 98023,6.033263716,295000
4,2,1300,7054,1,0,0,3,1300,0,1950,2013,Seattle,WA 98146,6.741871239,312000
3,1,1510,6083,1,0,0,4,860,650,1940,2001,Seattle,WA 98115,7.857909498,313950
4,2.5,1890,6156,1,0,0,3,980,910,1980,0,Seattle,WA 98106,7.039593149,324999.9999
2,1,720,6687,1,0,0,3,720,0,1942,1999,Seattle,WA 98117,7.767954241,329350
4,2.5,2331,3826,2,0,0,3,2331,0,2007,0,Renton,WA 98058,7.315431444,345000
3,1,1110,6250,1,0,0,3,1110,0,1956,2001,Seattle,WA 98115,6.941293279,345000
3,1,1350,7740,1,0,0,4,860,490,1947,1988,Seattle,WA 98125,7.80106809,353000
4,2,2680,18768,1,0,0,5,2680,0,1965,0,Auburn,WA 98001,7.685638568,360000
3,2.25,1640,14374,1,0,0,4,1140,500,1963,0,Burien,WA 98148,7.347036227,362000
3,1.5,1310,8160,1,0,0,3,1310,0,1950,2005,Seattle,WA 98133,6.786610867,365000
3,1.5,1410,9647,1,0,0,3,1410,0,1961,2004,Shoreline,WA 98177,7.126380899,367500.0001
3,2,1270,1320,3,0,0,3,1270,0,2006,0,Seattle,WA 98103,6.195681903,369950
4,1.75,1500,11600,1,0,0,4,1000,500,1955,2009,Kenmore,WA 98028,6.335647357,379900
3,1.75,1900,5520,1,0,0,3,1280,620,1982,0,Seattle,WA 98118,6.259495209,385000
3,1,1230,9568,1,0,0,5,1230,0,1962,0,Newcastle,WA 98056,6.732067622,386999.9999
5,3.75,2890,5000,1,0,0,3,1310,1580,2006,0,Seattle,WA 98144,6.815399691,389999.9999
3,1.75,1260,6500,1,0,0,4,1260,0,1966,0,Bellevue,WA 98008,7.718289819,390000.0001
4,2,1440,7680,1,0,0,3,1200,240,1971,0,Kirkland,WA 98034,7.342406238,397000
4,1.75,1840,10720,1,0,0,3,960,880,1958,2004,Bellevue,WA 98008,7.567465929,404000
4,2,1520,7983,1,0,0,5,1520,0,1967,0,Inglewood-Finn Hill,WA 98034,7.179957532,425000
3,3.5,3020,4082,2,0,0,3,2080,940,1954,2004,Seattle,WA 98199,7.035427296,439333.3333
5,2.5,2240,7770,1,0,0,3,1340,900,1978,0,Kirkland,WA 98034,6.407137289,455000
6,3,3470,117612,1.5,0,0,3,3470,0,1924,2011,Kenmore,WA 98028,6.941112469,474999.9997
4,2.5,2740,45732,2,0,0,3,2740,0,1995,0,Woodinville,WA 98077,7.448757998,483499.9998
2,1.75,1660,6000,1,0,0,3,1160,500,1942,1999,Seattle,WA 98105,7.405129567,484000
3,2,1420,4080,1.5,0,0,3,1420,0,1905,2013,Seattle,WA 98103,7.591634747,485000
5,2,2020,5000,1.5,0,0,4,2020,0,1938,0,Seattle,WA 98117,6.587722764,488000
2,1.75,1170,2400,1,0,0,4,740,430,1903,0,Seattle,WA 98103,7.384240469,499000
3,2.5,1480,1171,3,0,0,3,1480,0,2006,0,Seattle,WA 98112,6.318972162,500000
4,2.5,2000,5684,2,0,0,3,2000,0,1996,0,Kenmore,WA 98028,7.338090402,513000
3,2.5,1790,7167,2,0,0,3,1790,0,1989,0,Sammamish,WA 98074,6.746891424,515000.0001
3,1.5,1430,8000,1,0,0,4,1430,0,1956,0,Bellevue,WA 98007,6.289467993,518000
3,2.5,2460,54885,2,0,0,4,2460,0,1980,0,Renton,WA 98059,7.823270627,519999.9999
3,2.5,2970,11985,1,0,0,3,1770,1200,1995,0,Sammamish,WA 98074,7.93265174,524999.9999
5,2.5,2910,9636,1,0,0,4,1690,1220,1964,0,Bellevue,WA 98008,6.90858692,530000
5,2.75,1800,3780,1.5,0,0,3,1400,400,1926,2003,Seattle,WA 98103,6.811713276,533000
3,2.5,1850,10109,2,0,0,3,1850,0,1991,0,Kirkland,WA 98034,6.723245051,534999.9999
3,2,2000,7000,2,0,0,3,2000,0,1916,1986,Seattle,WA 98136,7.809158366,561000
5,2.25,3040,8111,2,0,0,3,3040,0,1984,0,Redmond,WA 98052,7.114473149,562000.0001
4,3,3100,15480,2,0,0,3,2400,700,1996,0,Kenmore,WA 98028,7.400867765,563000.0001
3,1.75,2130,6500,1,0,2,3,1170,960,1954,2005,Seattle,WA 98199,6.333696437,575000.0001
4,3.25,3569,8327,2,0,0,3,3569,0,2013,1923,Renton,WA 98055,7.878201452,580000.0001
4,2.25,2260,29930,2,0,0,4,1400,860,1977,0,Bellevue,WA 98006,7.484127273,599000.0001
4,2.5,2110,13850,2,0,0,3,2110,0,1987,2000,Issaquah,WA 98027,6.901573955,606000
4,2.5,2150,37981,2,0,0,3,2150,0,1985,0,Redmond,WA 98052,6.500301142,609000
4,3,2450,10117,1,0,0,5,1580,870,1967,0,Bellevue,WA 98006,7.640243892,610000
4,2,2060,5000,1,0,0,3,1030,1030,1949,2013,Seattle,WA 98117,7.798696583,612499.9999
3,1.5,1630,7475,1,0,1,3,1160,470,1940,1996,Seattle,WA 98115,7.858570366,650000
4,3.5,3380,8330,2,0,0,3,3380,0,2000,0,Shoreline,WA 98177,7.953365869,655499.9999
4,2.5,3030,7864,2,0,0,3,3030,0,1999,0,Sammamish,WA 98074,6.805185332,685000
4,2.5,3200,12369,2,0,0,3,3200,0,1998,2006,Newcastle,WA 98059,7.692372467,725126
4,2.5,2290,12047,2,0,0,4,2290,0,1988,0,Bellevue,WA 98006,6.542495614,736000.0001
4,2.5,3880,14550,2,0,0,3,3880,0,1987,2000,Sammamish,WA 98074,7.871364274,762300.0002
4,2.5,3040,6425,2,0,0,3,3040,0,2008,0,Redmond,WA 98052,7.071184477,776000.0001
4,2,3740,32417,2,0,0,3,3740,0,2000,0,Redmond,WA 98053,6.75222445,860000
3,2.5,2690,4047,3,0,0,3,2690,0,2014,0,Seattle,WA 98117,7.104839757,979000.0001
4,2.75,3370,8103,1,0,3,3,1970,1400,1970,2014,Seattle,WA 98136,7.762095445,1135000
4,2.25,3490,6906,2,0,0,4,2280,1210,1928,0,Seattle,WA 98199,7.336396945,1225000
4,3.25,3760,10920,1.5,0,0,5,2400,1360,1950,0,Seattle,WA 98105,7.892512008,1580000
5,4,4510,15175,2,0,0,3,4510,0,1969,2002,Mercer Island,WA 98040,7.328692651,1870000
2,1,1040,13100,1,0,0,5,1040,0,1912,0,Kent,WA 98032,7.242955583,160000
3,2,1570,7200,1,0,0,4,1570,0,1952,0,Shoreline,WA 98155,6.514145822,176225
4,1,1490,6600,1,0,0,3,1490,0,1969,2010,Burien,WA 98168,6.0853906,185000
3,1.5,1380,11130,1,0,0,3,1380,0,1960,2012,Federal Way,WA 98003,7.919512163,209950.0001
3,1.75,1640,10762,1,0,0,3,1130,510,1988,2000,Covington,WA 98042,7.249254054,226500
3,2.5,1920,9180,2,0,0,3,1920,0,1988,2000,Renton,WA 98057,6.778293459,230000.0001
3,2,1410,7566,1,0,0,3,1410,0,1985,0,Kent,WA 98030,6.57505079,239900
3,1.5,1260,1270,2,0,0,3,1040,220,2005,0,Seattle,WA 98133,6.60221633,245000
3,1,1400,7410,1,0,0,3,1400,0,1944,0,Burien,WA 98166,7.959992686,246000
4,1.75,1720,10018,1,0,0,5,1720,0,1960,0,Covington,WA 98042,7.697513804,248499.9999
3,1,1110,8423,1,0,0,3,1110,0,1952,2008,Burien,WA 98166,6.59942323,249000
1,1,1100,4373,1,0,0,2,820,280,1947,0,Burien,WA 98166,6.049013854,250000
3,1.75,1250,10122,1,0,0,3,1250,0,1994,0,Black Diamond,WA 98010,6.319465112,253000
5,2.25,2060,8632,1,0,0,3,1030,1030,1962,2003,Burien,WA 98146,6.226345579,255000
3,2.5,1600,7000,2,0,0,4,1600,0,1993,0,Maple Valley,WA 98038,7.695986119,275000
3,2.5,1600,4271,2,0,0,3,1600,0,2000,0,Auburn,WA 98001,6.605858194,280000
3,1.75,1840,10723,1,0,0,4,1220,620,1974,0,Renton,WA 98058,7.559837251,310000
3,1.75,2190,8000,1,0,0,4,2190,0,1967,0,Federal Way,WA 98023,6.150565237,313000
3,1.75,1870,12381,1,0,0,4,1870,0,1957,2001,Federal Way,WA 98003,7.464150383,314500
3,1,1040,16986,1,0,0,4,1040,0,1968,0,Renton,WA 98059,7.10802594,314949.9999
3,3,1680,1570,3,0,0,3,1680,0,2014,0,Seattle,WA 98103,6.472472555,330000
3,2.25,1630,12295,2,0,0,4,1630,0,1985,0,Renton,WA 98058,6.872477836,339950
3,1,1010,9360,1,0,0,3,1010,0,1981,2013,Kirkland,WA 98033,6.922849697,350000
5,2.5,2420,8560,1,0,2,3,1620,800,1978,0,Seattle,WA 98118,7.528657447,352000
2,1,820,6400,1,0,0,4,820,0,1944,0,Seattle,WA 98126,7.22893312,361280
5,2.75,2410,5003,1,0,0,3,1410,1000,2008,0,Seattle,WA 98118,6.736957923,365000
3,2.5,1830,13042,2,0,0,3,1830,0,1990,2009,Maple Valley,WA 98038,7.665932902,374999.9999
2,1,1640,17335,1,0,0,3,840,800,1978,0,Redmond,WA 98053,6.979394602,379499.9999
5,1.75,3000,6000,1,0,0,5,1500,1500,1958,0,Seattle,WA 98178,6.100794389,380000
3,2.25,1660,8307,1,0,0,4,1660,0,1961,2001,Shoreline,WA 98133,6.718267225,405000
4,2.75,2140,13000,1,0,0,3,1320,820,1968,1997,Kenmore,WA 98028,6.20603554,409500
4,3,1830,9548,2,0,0,3,1830,0,1991,0,Bothell,WA 98028,6.360993904,415000
3,2.25,1606,1452,3,0,0,3,1606,0,2009,0,Seattle,WA 98125,6.422977118,417249.9999
3,2.25,1770,8165,2,0,0,3,1770,0,1977,2004,Kirkland,WA 98034,7.647339487,420000
2,2.5,1150,1027,3,0,0,3,1150,0,2008,0,Seattle,WA 98103,7.491794709,425000
2,2,1350,3900,1,0,0,3,1350,0,2003,0,Redmond,WA 98053,7.67727139,428000
3,1.75,1500,6180,1,0,0,4,1060,440,1947,1988,Seattle,WA 98118,6.099107555,440000.0001
3,2.5,1600,3573,2,0,0,3,1600,0,2013,1923,Renton,WA 98056,7.285251317,444845
3,2,1760,9055,2,0,0,4,1760,0,1985,0,Redmond,WA 98052,6.980068392,460000
4,2.5,2180,11200,1,0,0,4,2180,0,1968,0,Woodinville,WA 98072,7.838798089,480500.0001
3,2,1610,4160,1,0,0,4,1010,600,1917,0,Seattle,WA 98136,6.162008489,485000
4,2.5,3305,16164,1.5,0,0,5,2245,1060,1922,1956,Shoreline,WA 98133,6.300667832,492000
4,2.75,2656,21195,2,0,0,3,2656,0,2014,0,Auburn,WA 98001,7.703927058,495000
3,2.5,1940,37565,1,0,0,4,1940,0,1987,0,Issaquah,WA 98027,6.998761995,499999.9998
3,2.5,2280,2289,2,0,0,3,1880,400,2006,0,Issaquah,WA 98027,6.050006822,500324.0001
3,2.75,1540,6760,1,0,0,5,1210,330,1980,0,Kirkland,WA 98034,6.498264177,502999.9999
4,2.5,2430,5203,2,0,0,3,2430,0,2003,0,Shoreline,WA 98155,7.152976461,510000
3,1.75,1580,9147,1,0,1,4,1210,370,1967,0,Bellevue,WA 98008,6.152773093,515000
3,2.25,1170,1249,3,0,0,3,1170,0,2014,0,Seattle,WA 98107,7.983695515,519950
2,2,1550,2400,1.5,0,0,4,1550,0,1900,1971,Seattle,WA 98103,7.619271269,526000
3,1,1340,4284,1,0,0,3,1080,260,1910,2006,Seattle,WA 98105,7.293083604,530000
7,5.75,3700,7647,2,0,1,3,3700,0,1948,1984,Lake Forest Park,WA 98155,6.995068157,540000
3,3,4120,60392,2,0,2,3,3180,940,1994,0,Carnation,WA 98014,7.914514942,560000.0001
3,2,1860,13374,1,0,0,3,1860,0,1985,0,Issaquah,WA 98027,7.56674284,559999.9999
3,2,2350,5080,1.5,0,0,3,1780,570,1929,0,Seattle,WA 98118,7.851893768,568000
4,2,1650,5000,1,0,0,3,1650,0,1955,2005,Seattle,WA 98117,7.033481581,575000.0001
4,2,2510,13695,1,0,0,4,1280,1230,1961,2001,Kirkland,WA 98033,6.071732965,581000
3,1.75,1960,4788,1,0,0,4,1090,870,1920,0,Seattle,WA 98115,6.059335083,599000
9,4.5,3830,6988,2.5,0,0,3,2450,1380,1938,2003,Seattle,WA 98103,6.377368449,599999
3,2.5,2460,108900,1,0,0,4,1860,600,1977,0,Issaquah,WA 98027,6.908777372,600000.0003
