number of rooms,security level of the community,residence space,noise level,view,aboveground space ,basement space,building year,total cost
3,2.0,1860,1.0,0,1860,0,1985,559999.9999
3,2.0,2350,1.5,0,1780,570,1929,568000.0
4,2.0,1650,1.0,0,1650,0,1955,575000.0001
4,2.0,2510,1.0,0,1280,1230,1961,581000.0
3,1.75,1960,1.0,0,1090,870,1920,599000.0
9,4.5,3830,2.5,0,2450,1380,1938,599999.0
3,2.5,2460,1.0,0,1860,600,1977,600000.0003
3,2.5,2030,2.0,0,2030,0,1988,618080.0
2,2.25,2550,1.0,0,1720,830,2011,630000.0
3,3.0,2270,2.0,0,2130,140,2002,640000.0
3,2.5,3240,2.0,0,3240,0,1991,651000.0004
4,2.5,2650,1.5,0,1520,1130,1905,705000.0001
4,2.75,2600,2.0,0,1960,640,1949,749950.0
3,2.75,2520,1.0,0,1360,1160,1946,750000.0001
4,2.75,2410,1.0,0,1780,630,1956,758000.0
3,2.0,2540,1.5,3,1600,940,1905,774999.9999
4,2.0,2210,1.0,1,1210,1000,1954,794154.0
5,3.75,4130,2.0,0,3170,960,1985,899999.9991
4,3.5,3900,2.0,0,3900,0,2006,1040000.0
4,4.0,4460,2.0,0,4460,0,2001,1150000.0
6,2.5,3560,2.5,0,3560,0,1914,1500000.0
5,4.5,4270,2.0,0,3400,870,2007,1532500.0
2,1.5,980,2.0,0,980,0,1922,134000.0
2,1.0,720,1.0,0,720,0,1955,205000.0
3,1.0,1490,1.0,0,1490,0,1954,207000.0
4,1.75,2000,1.0,0,1100,900,1965,228000.0001
3,2.5,1190,2.0,0,1190,0,2002,229000.0
3,1.0,1390,1.0,0,1390,0,1960,230000.0
3,1.75,950,1.0,0,790,160,1939,230000.0
2,1.0,1270,1.0,0,650,620,1923,235000.0
3,1.5,1260,1.0,0,1260,0,1955,245000.0
3,1.75,1390,1.0,0,1390,0,1975,246000.0
4,1.75,1730,1.0,0,1230,500,1977,258000.0
4,1.5,2130,1.0,0,1100,1030,1962,260000.0001
4,2.5,2020,2.0,0,2020,0,2002,262000.0
3,2.5,1940,1.0,0,1460,480,1989,266000.0
4,2.5,1810,2.0,0,1810,0,1994,270000.0
3,1.75,1890,1.0,0,1890,0,1966,292285.7143
3,2.5,1920,2.0,0,1920,0,1993,295000.0
3,2.0,1240,1.0,0,1240,0,1967,297950.0
2,1.25,860,2.0,0,860,0,2007,321950.0
4,2.5,2320,2.0,0,2320,0,2004,325900.0
4,2.5,2460,2.0,0,2460,0,1989,347500.0
3,1.75,1590,1.0,0,1590,0,1988,349000.0
4,1.75,2250,1.0,0,2150,100,1940,350000.0
2,1.5,960,2.0,0,960,0,1993,358000.0
6,2.25,3206,2.0,0,3206,0,2012,375000.0001
3,1.75,1890,1.0,0,1230,660,1944,384999.9999
3,2.5,1960,1.0,0,1290,670,1977,401999.9999
3,2.75,2090,2.0,0,2090,0,2012,402999.9999
2,1.0,1020,1.0,0,1020,0,1948,404999.9999
3,2.5,1540,3.0,0,1470,70,2008,413450.0
3,1.75,1460,1.0,0,1460,0,1979,424500.0
3,1.75,1310,1.0,0,1310,0,1976,437000.0
2,1.5,1020,3.0,0,1020,0,2008,441750.0
3,2.0,1510,1.0,0,1510,0,1954,450000.0001
5,2.25,2440,1.5,0,2440,0,1975,489990.0
3,2.5,2310,2.0,0,2310,0,2011,494000.0
3,1.75,1410,3.0,0,1410,0,2012,500000.0
4,2.75,2280,1.5,0,1540,740,1930,530000.0
3,1.75,1980,1.0,0,1980,0,1973,530000.0001
3,1.0,1670,1.0,0,1170,500,1967,533000.0
4,2.5,2280,2.0,0,2280,0,2004,535000.0002
4,3.0,2920,1.0,3,1460,1460,1964,537499.9999
4,2.5,2550,2.0,0,2550,0,2005,537500.0
4,1.75,1840,1.0,0,1220,620,1967,538000.0
6,2.25,2820,1.5,2,1970,850,1940,543200.0
2,2.0,1870,1.0,0,1870,0,2006,559950.0
4,2.25,2250,2.0,0,2250,0,1980,569000.0
2,3.0,3160,2.0,0,3160,0,1993,589899.9998
3,2.5,1750,2.0,0,1750,0,1991,595000.0
2,1.0,1540,1.0,0,820,720,1946,615000.0
4,1.75,2060,1.0,0,1160,900,1947,647500.0
4,2.5,3290,2.0,0,3290,0,2002,716499.9999
3,2.5,1690,1.5,1,1690,0,1928,719000.0
4,2.5,2660,2.0,2,2660,0,2003,753888.0001
4,1.75,2480,1.0,0,1390,1090,1950,780000.0
5,3.0,3040,1.0,0,1970,1070,1968,830000.0001
3,2.5,2920,3.0,0,2920,0,2008,868500.0001
3,3.25,2640,2.0,0,1840,800,1912,930000.0
5,2.5,3160,1.0,0,1780,1380,1971,980000.0001
4,1.0,3410,2.0,0,2190,1220,1910,1039000.0
4,3.25,3820,2.0,1,3310,510,1990,1250000.0
2,1.0,720,1.0,0,720,0,1950,195000.0
3,1.0,1160,1.0,0,1160,0,1959,201500.0
2,1.5,1020,2.0,0,1020,0,2004,212000.0
4,1.0,1430,1.5,0,1430,0,1983,224500.0
3,2.5,2000,2.0,0,2000,0,1992,225000.0
3,1.0,1360,1.0,0,1360,0,1977,234950.0001
4,3.0,2163,2.0,0,2163,0,2006,247999.9999
3,1.75,1220,1.0,0,1220,0,1962,251000.0
3,1.0,1030,1.0,0,880,150,1947,252500.0
3,2.5,1850,2.0,0,1850,0,2003,254000.0
2,1.0,960,1.0,0,960,0,1984,255000.0
2,1.0,810,1.0,0,810,0,1928,255000.0
3,2.0,1920,1.0,0,1510,410,1969,260000.0
3,2.5,1420,1.0,0,1020,400,1963,260000.0
3,2.0,1690,1.0,0,1690,0,1969,270000.0
3,1.5,1500,1.0,0,1500,0,1953,270000.0
4,2.0,2190,1.0,0,1180,1010,1977,280000.0
3,1.75,1390,1.0,3,840,550,1912,280950.0
4,2.5,2000,1.0,0,1200,800,1968,290000.0
3,1.5,1060,1.0,0,1060,0,1973,303500.0
4,2.25,2130,1.0,0,1380,750,1977,311100.0001
4,2.25,1930,1.0,0,1430,500,1984,312000.0
5,1.75,2320,1.0,0,1160,1160,1956,315000.0
4,2.25,2310,2.0,0,2310,0,1980,320000.0
4,2.75,1970,1.0,0,1170,800,1977,323000.0
3,2.25,998,2.0,0,798,200,2007,324000.0
3,2.25,1352,3.0,0,1352,0,2007,325000.0001
4,2.5,1940,2.0,0,1940,0,2003,330000.0
3,1.0,1620,1.5,0,1620,0,1911,346750.0001
3,2.25,1640,1.0,0,1640,0,1972,352000.0
3,2.0,1340,3.0,0,1340,0,2008,376000.0
3,3.25,1410,3.0,0,1410,0,2005,382000.0
3,2.25,1445,2.0,0,1300,145,2003,387000.0
4,2.5,2600,2.0,0,2600,0,1988,402500.0
4,2.25,3060,2.0,0,3060,0,1992,414999.9999
4,2.0,1650,1.0,0,1000,650,1959,445000.0
2,2.0,1150,1.0,0,860,290,1940,444999.9999
4,1.75,1750,1.5,0,1050,700,1926,460000.0
2,1.0,1150,1.0,0,1150,0,1905,463000.0
4,2.5,1930,1.0,0,1930,0,1968,464999.9999
3,2.0,1410,1.0,0,1410,0,1940,481450.0
2,1.0,1840,1.5,0,1130,710,1910,489999.9999
3,1.75,1750,1.0,1,1300,450,1987,491300.0
3,2.5,2100,2.0,2,2100,0,1999,505000.0
3,2.0,1400,1.0,0,1400,0,1963,511555.0
3,2.5,2030,2.0,0,2030,0,1991,525000.0
5,3.0,3480,1.0,0,2340,1140,1976,532000.0002
3,1.75,1300,1.5,0,1300,0,1925,535999.9999
4,1.75,2000,1.5,0,1450,550,1926,536500.0001
4,2.5,2330,2.0,0,2330,0,1978,542500.0002
4,2.5,2840,2.0,0,2840,0,2012,557000.0001
4,2.25,2470,2.0,0,2470,0,1984,565000.0
3,2.25,1660,1.0,0,1370,290,1980,566000.0
4,2.5,2840,2.0,0,2840,0,1998,580000.0
4,2.5,2660,2.0,0,2660,0,2001,582999.9999
4,3.25,2400,2.0,0,2400,0,1982,585000.0001
4,2.25,2430,1.0,0,2430,0,1993,590000.0001
4,2.5,2260,2.0,0,2260,0,1989,603999.9999
3,3.0,2480,1.0,0,1620,860,1976,610000.0
4,2.75,3100,2.0,0,2000,1100,1919,742500.0
4,2.75,2790,2.0,0,2790,0,1996,764999.9999
4,3.5,2730,2.0,0,2400,330,2006,769900.0
4,2.5,2830,2.0,0,1980,850,1979,782000.0
4,2.75,3780,2.0,0,3780,0,1999,833000.0
4,3.5,3810,1.0,1,2560,1250,2013,839900.0001
3,2.5,3560,2.0,0,3560,0,1987,851000.0002
4,3.0,3750,2.0,0,3750,0,1976,920000.0
4,2.25,4230,2.0,0,4230,0,1989,985000.0
3,2.25,2950,1.5,0,2950,0,2006,1020000.0
4,4.25,5860,2.0,0,4910,950,1996,1157200.0
4,2.75,3720,1.0,4,1960,1760,1962,1370000.0
5,4.5,5190,2.0,2,3390,1800,1987,1702500.0
5,6.5,7270,2.0,0,6420,850,2010,2238888.0
4,1.0,1940,1.0,0,1080,860,1962,265000.0
3,2.5,2130,2.0,0,2130,0,2003,319999.9999
3,2.5,1350,3.0,0,1270,80,2006,394950.0
5,2.75,3060,1.0,0,1600,1460,1979,549900.0
4,2.0,2520,1.0,0,1400,1120,1921,875000.0
3,2.5,1370,2.0,0,1010,360,2007,368000.0
4,2.5,2160,2.5,0,2160,0,1902,842500.0
3,1.0,970,1.0,0,970,0,1959,156000.0
3,1.5,1370,1.0,0,1370,0,1961,185000.0
2,1.0,700,1.0,0,700,0,1953,191999.9999
3,1.0,1460,1.0,0,1460,0,1969,201000.0
3,2.5,1040,2.0,0,720,320,2004,210000.0
3,1.5,1350,1.0,0,1350,0,1941,211000.0
3,1.0,990,1.0,0,990,0,1966,225000.0
1,1.0,810,1.0,0,810,0,1941,235000.0
3,1.0,1830,1.0,0,1830,0,1942,238750.0
3,1.5,1770,1.0,0,1160,610,1959,254000.0001
2,1.0,1220,1.0,0,770,450,1910,255000.0
2,1.0,1290,2.0,0,1290,0,2008,265000.0001
4,2.5,2380,2.0,0,2380,0,1997,268971.875
2,1.75,1360,1.0,0,860,500,1975,299999.9999
5,2.25,2180,2.0,0,2180,0,1986,302000.0
3,1.75,1440,1.0,0,960,480,1951,315275.0
5,3.0,2100,1.0,0,1250,850,2013,330000.0
3,2.5,1940,2.0,0,1940,0,2004,334999.9999
3,1.0,1080,1.0,0,1080,0,1955,339000.0
3,1.5,1720,1.5,0,1720,0,1952,340999.9999
2,1.0,910,1.5,0,910,0,1906,350000.0
4,2.0,1730,1.0,0,1010,720,1943,359999.9999
3,1.0,1280,1.0,0,1280,0,1968,368000.0
2,2.5,980,2.0,0,670,310,2009,369000.0
5,3.0,2480,1.0,0,1300,1180,2004,372499.9999
4,2.5,2160,2.0,0,2160,0,2010,383000.0
3,2.25,2200,2.0,0,2200,0,1987,410000.0
2,2.5,1480,3.0,0,1480,0,2009,420000.0
3,2.5,2010,2.0,0,1390,620,2014,453246.0
3,1.5,2020,1.0,0,1190,830,1956,465000.0
2,2.5,1230,2.0,0,870,360,2004,490000.0
2,2.25,1290,3.0,0,1290,0,2007,500000.0
4,2.5,2780,1.0,0,1590,1190,1978,505000.0
4,1.75,1940,1.0,0,1030,910,1922,505000.0
4,2.25,1800,1.0,0,1360,440,1980,522000.0
3,2.5,3720,2.0,0,3720,0,1982,571986.1111
4,1.75,2120,1.0,1,1190,930,1951,582000.0
4,3.0,2110,1.5,2,1640,470,1930,610000.0
2,1.75,2040,1.5,3,2040,0,1919,614999.9999
3,1.5,1620,1.0,0,1280,340,1954,620000.0
4,2.0,1770,2.0,0,1770,0,1911,630000.0
3,2.5,1570,3.0,0,1570,0,2010,635000.0
4,2.5,2550,1.0,0,1290,1260,1964,642000.0
4,2.5,3040,2.0,0,3040,0,1999,647000.0
4,3.0,2400,1.0,0,1200,1200,1964,675000.0
4,2.5,2670,2.0,0,2670,0,1989,689999.9999
4,2.5,2760,1.5,0,1680,1080,1928,734200.0
3,2.5,2620,2.0,0,2620,0,1992,746000.0001
4,2.5,2980,2.0,0,2890,90,2000,750000.0001
4,2.5,3110,2.0,0,3110,0,2004,751000.0001
3,1.75,1720,1.0,0,1720,0,1954,770000.0
4,3.25,3680,2.0,0,2840,840,2003,787999.9999
4,2.75,2600,1.5,0,1620,980,1936,839999.9999
4,1.75,2350,1.0,0,2350,0,1961,850000.0001
3,3.25,2170,1.5,0,1650,520,1928,876649.9999
4,2.5,2830,2.0,0,2830,0,1995,885000.0001
4,3.25,4700,2.0,0,3420,1280,1978,900000.0001
3,2.0,2700,1.0,0,1350,1350,1962,909999.9999
4,2.75,3300,2.0,0,3300,0,1953,927000.0
4,2.25,3290,1.5,0,3290,0,1968,947499.9999
3,2.75,2980,1.5,2,2180,800,1917,947499.9999
5,3.0,4530,1.5,0,3200,1330,2003,949999.9997
3,2.5,2920,1.0,4,1800,1120,1954,1015000.0
4,3.25,3270,2.0,0,3110,160,2014,1033888.0
4,3.75,3280,2.0,0,2320,960,2008,1050000.0
